,date,fips,mmwr_week,recip_county,recip_state,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_5plus,administered_dose1_recip_5pluspop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,series_complete_yes,series_complete_pop_pct,series_complete_5plus,series_complete_5pluspop_pct,series_complete_12plus,series_complete_12pluspop_pct,series_complete_18plus,series_complete_18pluspop_pct,series_complete_65plus,series_complete_65pluspop_pct,booster_doses,booster_doses_vax_pct,booster_doses_12plus,booster_doses_12plus_vax_pct,booster_doses_18plus,booster_doses_18plus_vax_pct,booster_doses_50plus,booster_doses_50plus_vax_pct,booster_doses_65plus,booster_doses_65plus_vax_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_5pluspop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi,metro_status,series_complete_pop_pct_ur_equity,series_complete_5pluspop_pct_ur_equity,series_complete_12pluspop_pct_ur_equity,series_complete_18pluspop_pct_ur_equity,series_complete_65pluspop_pct_ur_equity,census2019,census2019_5pluspop,census2019_12pluspop,census2019_18pluspop,census2019_65pluspop
1613,2022-03-01T00:00:00.000,02220,9,Sitka City and Borough,AK,97.7,7043,82.9,7042,87.3,6766,92,6200,92,1283,94.1,6607,77.8,6606,81.9,6362,86.5,5822,86.4,1256,92.1,3609,54.6,3609,56.7,3467,59.5,1995,72.9,1062,84.6,B,8,8,8,8,8,Non-metro,8,8,8,8,8,8493,8069,7351,6740,1364
1770,2022-03-01T00:00:00.000,02020,9,Anchorage Municipality,AK,97.7,214814,74.6,214714,80.1,205792,85.5,190915,87.3,34184,95,190716,66.2,190677,71.1,183690,76.3,170439,77.9,31293,92.7,77743,40.8,77708,42.3,74873,43.9,43844,59.7,21890,70.0,B,8,8,8,8,8,Metro,4,4,4,4,4,288000,268042,240774,218802,33757
540,2022-03-01T00:00:00.000,02130,9,Ketchikan Gateway Borough,AK,97.7,9869,71,9867,75.2,9556,80,8840,81.2,2057,89.8,8952,64.4,8950,68.2,8736,73.2,8082,74.3,1972,86.1,3898,43.5,3897,44.6,3789,46.9,2539,59.9,1393,70.6,C,12,12,12,12,12,Non-metro,8,8,8,8,8,13901,13118,11941,10884,2291
570,2022-03-01T00:00:00.000,02282,9,Yakutat City and Borough,AK,97.7,472,81.5,472,86,455,89.7,429,89.9,112,91.8,453,78.2,453,82.5,438,86.4,412,86.4,108,88.5,235,51.9,235,53.7,229,55.6,152,68.2,86,79.6,C,12,12,12,12,12,Non-metro,8,8,8,8,8,579,549,507,477,122
580,2022-03-01T00:00:00.000,02070,9,Dillingham Census Area,AK,97.7,2800,57,2798,63,2608,68.7,2309,68.5,399,80.8,2549,51.9,2549,57.4,2398,63.1,2118,62.8,370,74.9,1082,42.4,1081,45.1,1036,48.9,619,64.8,281,75.9,D,16,16,16,16,16,Non-metro,8,8,8,8,8,4916,4441,3798,3371,494
614,2022-03-01T00:00:00.000,02110,9,Juneau City and Borough,AK,97.7,26362,82.4,26353,87.4,25054,91.1,23024,91.3,4651,95,24278,75.9,24273,80.5,23176,84.3,21289,84.4,4328,95,12781,52.6,12778,55.1,12257,57.6,7135,70.6,3502,80.9,B,8,8,8,8,8,Non-metro,8,8,8,8,8,31974,30167,27500,25225,4461
642,2022-03-01T00:00:00.000,02290,9,Yukon-Koyukuk Census Area,AK,97.7,4295,82.1,4293,88.9,3975,95,3581,95,793,95,3976,76,3976,82.3,3736,89.3,3356,89,763,92.8,1984,49.9,1983,53.1,1888,56.3,1143,69.2,605,79.3,D,16,16,16,16,16,Non-metro,8,8,8,8,8,5230,4829,4185,3771,822
2880,2022-03-01T00:00:00.000,02150,9,Kodiak Island Borough,AK,97.7,9257,71.2,9255,76.8,8854,82.5,8129,83.3,1483,95,8351,64.2,8350,69.3,8040,75,7368,75.5,1372,93,3722,44.6,3721,46.3,3632,49.3,2262,64.4,1064,77.6,C,12,12,12,12,12,Non-metro,8,8,8,8,8,12998,12049,10727,9757,1476
688,2022-03-01T00:00:00.000,02198,9,Prince of Wales-Hyder Census Area,AK,97.7,3598,58,3596,61.2,3443,65.1,3172,65.8,873,77.6,3277,52.8,3276,55.8,3139,59.3,2891,60,795,70.7,1620,49.4,1620,51.6,1503,52.0,1016,60.6,537,67.5,D,16,16,16,16,16,Non-metro,8,8,8,8,8,6203,5876,5292,4821,1125
2463,2022-03-01T00:00:00.000,02122,9,Kenai Peninsula Borough,AK,97.7,30984,52.8,30968,56.1,30155,60.3,28623,62.9,9001,83.5,27918,47.6,27914,50.5,27284,54.6,25910,56.9,8185,76,12787,45.8,12784,46.9,12547,48.4,9076,58.4,5506,67.3,B,7,8,8,8,8,Non-metro,7,8,8,8,8,58708,55225,50000,45527,10775
729,2022-03-01T00:00:00.000,02050,9,Bethel Census Area,AK,97.7,13114,71.3,13109,79.9,11809,85.4,10056,84.9,1279,88.3,12067,65.6,12066,73.5,11115,80.4,9503,80.2,1235,85.3,5164,42.8,5160,46.4,4845,51.0,2336,66.3,909,73.6,D,16,16,16,16,16,Non-metro,8,8,8,8,8,18386,16410,13825,11848,1448
1206,2022-03-01T00:00:00.000,02105,9,Hoonah-Angoon Census Area,AK,97.7,1576,73.4,1575,76.8,1510,79.4,1385,78.5,448,86.8,1488,69.3,1488,72.6,1428,75.1,1314,74.4,417,80.8,887,59.6,887,62.1,836,63.6,594,72.6,346,83.0,B,8,8,8,8,8,Non-metro,8,8,8,8,8,2148,2050,1902,1765,516
763,2022-03-01T00:00:00.000,02180,9,Nome Census Area,AK,97.7,7340,73.4,7329,81.4,6644,87.8,5723,87.5,760,94.6,6988,69.9,6986,77.6,6418,84.8,5543,84.7,727,90.5,3283,47.0,3283,51.2,3042,54.9,1421,68.6,552,75.9,D,16,16,16,16,16,Non-metro,8,8,8,8,8,10004,9008,7568,6544,803
2794,2022-03-01T00:00:00.000,02164,9,Lake and Peninsula Borough,AK,97.7,1000,62.8,1000,69.7,916,71.6,819,72.1,142,77.6,907,57,907,63.2,848,66.3,756,66.5,137,74.9,504,55.6,503,59.3,454,60.1,235,69.1,126,92.0,D,16,16,16,16,16,Non-metro,8,8,8,8,8,1592,1435,1279,1136,183
1164,2022-03-01T00:00:00.000,02013,9,Aleutians East Borough,AK,97.7,2813,84.3,2813,86.1,2740,86.8,2632,85.3,188,53.6,2484,74.4,2484,76,2426,76.9,2320,75.2,171,48.7,793,31.9,793,32.7,771,33.2,394,51.0,125,73.1,C,12,12,12,12,10,Non-metro,8,8,8,8,6,3337,3269,3156,3084,351
1161,2022-03-01T00:00:00.000,02275,9,Wrangell City and Borough,AK,97.7,1524,60.9,1523,63.6,1468,67.6,1385,68.9,436,71,1438,57.5,1438,60,1404,64.6,1326,66,421,68.6,803,55.8,803,57.2,776,58.5,527,66.5,321,76.2,C,12,12,12,12,11,Non-metro,8,8,8,8,7,2502,2396,2173,2009,614
2581,2022-03-01T00:00:00.000,02188,9,Northwest Arctic Borough,AK,97.7,4861,63.8,4860,71.3,4459,78.9,3839,79,510,91.6,4519,59.3,4519,66.3,4222,74.7,3672,75.5,496,89,2222,49.2,2222,52.6,2088,56.9,1000,69.0,380,76.6,D,16,16,16,16,16,Non-metro,8,8,8,8,8,7621,6817,5652,4862,557
1086,2022-03-01T00:00:00.000,02100,9,Haines Borough,AK,97.7,1842,72.8,1841,76.2,1797,79.5,1705,82.2,516,94.2,1708,67.5,1707,70.6,1673,74.1,1586,76.5,471,85.9,915,53.6,915,54.7,892,56.2,616,65.7,361,76.6,A,4,4,4,4,4,Non-metro,8,8,8,8,8,2530,2417,2259,2074,548
1778,2022-03-01T00:00:00.000,02240,9,Southeast Fairbanks Census Area,AK,97.7,3110,45.1,3110,48.9,3046,53.5,2893,55.9,795,73.7,2768,40.2,2768,43.5,2727,47.9,2586,50,728,67.5,1000,36.1,1000,36.7,978,37.8,744,51.3,469,64.4,C,11,11,11,12,11,Non-metro,7,7,7,8,7,6893,6363,5693,5175,1078
482,2022-03-01T00:00:00.000,02185,9,North Slope Borough,AK,97.7,4047,41.2,4047,44.7,3838,48,3395,47.1,468,63.6,3768,38.3,3768,41.6,3595,45,3188,44.3,441,59.9,1606,42.6,1606,44.7,1496,46.9,852,64.0,327,74.1,C,10,11,11,11,11,Non-metro,6,7,7,7,7,9832,9056,7997,7201,736
3250,2022-03-01T00:00:00.000,02158,9,Kusilvak Census Area,AK,97.7,5967,71.8,5965,82.6,5314,91.1,4345,89.1,478,94.5,5433,65.3,5432,75.2,5020,86,4134,84.8,463,91.5,2045,37.6,2045,40.7,1920,46.4,868,61.0,323,69.8,D,16,16,16,16,16,Non-metro,8,8,8,8,8,8314,7219,5834,4874,506
3059,2022-03-01T00:00:00.000,02230,9,Skagway Municipality,AK,97.7,920,77.8,918,81.5,872,83.4,820,81.9,160,85.6,818,69.1,818,72.6,814,77.9,764,76.3,149,79.7,439,53.7,439,53.9,430,56.3,223,67.0,125,83.9,A,4,4,4,4,4,Non-metro,8,8,8,8,8,1183,1127,1045,1001,187
