date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Alabama,Cullman County,92.5,37828,32039,11875
2022-04-28T00:00:00.000,Alabama,Geneva County,92.5,12788,10595,3503
2022-04-28T00:00:00.000,Alabama,Jefferson County,92.5,473807,383780,148993
2022-04-28T00:00:00.000,Alabama,Choctaw County,92.5,10336,8352,3033
2022-04-28T00:00:00.000,Alabama,Barbour County,92.5,13737,11197,3703
2022-04-28T00:00:00.000,Alabama,Covington County,92.5,17186,14134,4534
2022-04-28T00:00:00.000,Alabama,DeKalb County,92.5,29862,24298,8693
2022-04-28T00:00:00.000,Alabama,Franklin County,92.5,16767,13729,4469
2022-04-28T00:00:00.000,Alabama,Jackson County,92.5,31058,25537,9719
2022-04-28T00:00:00.000,Alabama,Houston County,92.5,54739,45813,15677
2022-04-28T00:00:00.000,Alabama,Greene County,92.5,5167,4124,1799
2022-04-28T00:00:00.000,Alabama,Clarke County,92.5,14888,12094,4401
2022-04-28T00:00:00.000,Alabama,Limestone County,92.5,46059,38622,12806
2022-04-28T00:00:00.000,Alabama,Sumter County,92.5,8488,6398,2404
2022-04-28T00:00:00.000,Alabama,Calhoun County,92.5,65131,53369,19117
2022-04-28T00:00:00.000,Alabama,Dallas County,92.5,21983,16938,6557
2022-04-28T00:00:00.000,Alabama,Lowndes County,92.5,6360,4971,1828
2022-04-28T00:00:00.000,Alabama,Montgomery County,92.5,149725,118355,41427
2022-04-28T00:00:00.000,Alabama,Morgan County,92.5,61604,52255,20312
2022-04-28T00:00:00.000,Alabama,Elmore County,92.5,46758,37748,12302
2022-04-28T00:00:00.000,Alabama,Coosa County,92.5,5211,4337,1715
2022-04-28T00:00:00.000,Alabama,Pickens County,92.5,12150,9896,3644
2022-04-28T00:00:00.000,Alabama,Butler County,92.5,9660,7675,2497
2022-04-28T00:00:00.000,Alabama,Walker County,92.5,35874,30034,10672
2022-04-28T00:00:00.000,Alabama,Clay County,92.5,6697,5525,1687
2022-04-28T00:00:00.000,Alabama,Macon County,92.5,10906,8688,3319
2022-04-28T00:00:00.000,Alabama,Chambers County,92.5,12592,10467,3851
2022-04-28T00:00:00.000,Alabama,Blount County,92.5,22196,18346,6113
2022-04-28T00:00:00.000,Alabama,Conecuh County,92.5,6864,5274,1626
2022-04-28T00:00:00.000,Alabama,Lauderdale County,92.5,53444,43275,16237
2022-04-28T00:00:00.000,Alabama,Tuscaloosa County,92.5,110786,91592,33270
2022-04-28T00:00:00.000,Alabama,Hale County,92.5,10668,8999,3670
2022-04-28T00:00:00.000,Alabama,Unknown County,92.5,234962,188798,54411
2022-04-28T00:00:00.000,Alabama,Crenshaw County,92.5,5754,4744,1604
2022-04-28T00:00:00.000,Alabama,Perry County,92.5,5224,4346,1749
2022-04-28T00:00:00.000,Alabama,Cherokee County,92.5,9931,8043,3086
2022-04-28T00:00:00.000,Alabama,Winston County,92.5,6241,5203,1756
2022-04-28T00:00:00.000,Alabama,Bibb County,92.5,9532,7782,2711
2022-04-28T00:00:00.000,Alabama,Lee County,92.5,79163,66214,22789
2022-04-28T00:00:00.000,Alabama,Baldwin County,92.5,143736,113739,40262
2022-04-28T00:00:00.000,Alabama,Colbert County,92.5,31559,26570,9793
2022-04-28T00:00:00.000,Alabama,Chilton County,92.5,19683,16161,5291
2022-04-28T00:00:00.000,Alabama,Coffee County,92.5,30837,24782,6803
2022-04-28T00:00:00.000,Alabama,Wilcox County,92.5,6988,5591,2184
2022-04-28T00:00:00.000,Alabama,Mobile County,92.5,250645,206515,72436
2022-04-28T00:00:00.000,Alabama,Russell County,92.5,32152,23987,7289
2022-04-28T00:00:00.000,Alabama,Etowah County,92.5,50626,42016,15501
2022-04-28T00:00:00.000,Alabama,Monroe County,92.5,11352,9058,3290
2022-04-28T00:00:00.000,Alabama,St. Clair County,92.5,41818,35055,12711
2022-04-28T00:00:00.000,Alabama,Washington County,92.5,9126,7511,2576
2022-04-28T00:00:00.000,Alabama,Henry County,92.5,9405,7826,2727
2022-04-28T00:00:00.000,Alabama,Fayette County,92.5,6650,5712,1973
2022-04-28T00:00:00.000,Alabama,Talladega County,92.5,35588,29288,10827
2022-04-28T00:00:00.000,Alabama,Shelby County,92.5,97833,78999,27320
2022-04-28T00:00:00.000,Alabama,Marion County,92.5,12695,10862,3962
2022-04-28T00:00:00.000,Alabama,Marshall County,92.5,53783,44260,15320
2022-04-28T00:00:00.000,Alabama,Bullock County,92.5,6807,5403,1710
2022-04-28T00:00:00.000,Alabama,Lawrence County,92.5,18148,15531,5670
2022-04-28T00:00:00.000,Alabama,Marengo County,92.5,12657,10270,3735
2022-04-28T00:00:00.000,Alabama,Cleburne County,92.5,5146,4292,1477
2022-04-28T00:00:00.000,Alabama,Lamar County,92.5,7040,6076,2472
2022-04-28T00:00:00.000,Alabama,Randolph County,92.5,9181,7492,2818
2022-04-28T00:00:00.000,Alabama,Escambia County,92.5,17071,13399,4433
2022-04-28T00:00:00.000,Alabama,Autauga County,92.5,31089,24701,8060
2022-04-28T00:00:00.000,Alabama,Dale County,92.5,28136,23607,6332
2022-04-28T00:00:00.000,Alabama,Madison County,92.5,286042,232135,88581
2022-04-28T00:00:00.000,Alabama,Pike County,92.5,16952,13971,4674
2022-04-28T00:00:00.000,Alabama,Tallapoosa County,92.5,18465,15588,6485
