date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Alaska,Juneau City and Borough,97.5,26696,24584,13530
2022-04-28T00:00:00.000,Alaska,Anchorage Municipality,97.5,218625,195007,83508
2022-04-28T00:00:00.000,Alaska,North Slope Borough,97.5,4121,3832,1705
2022-04-28T00:00:00.000,Alaska,Southeast Fairbanks Census Area,97.5,3162,2817,1064
2022-04-28T00:00:00.000,Alaska,Bristol Bay Borough,97.5,1097,917,327
2022-04-28T00:00:00.000,Alaska,Matanuska-Susitna Borough,97.5,49837,44053,17028
2022-04-28T00:00:00.000,Alaska,Unknown County,97.5,15408,11178,3706
2022-04-28T00:00:00.000,Alaska,Haines Borough,97.5,1865,1736,981
2022-04-28T00:00:00.000,Alaska,Aleutians West Census Area,97.5,4207,3539,1152
2022-04-28T00:00:00.000,Alaska,Denali Borough,97.5,1322,1138,549
2022-04-28T00:00:00.000,Alaska,Northwest Arctic Borough,97.5,4960,4660,2406
2022-04-28T00:00:00.000,Alaska,Ketchikan Gateway Borough,97.5,10011,9136,4206
2022-04-28T00:00:00.000,Alaska,Petersburg Census Area,97.5,2671,2486,1292
2022-04-28T00:00:00.000,Alaska,Kenai Peninsula Borough,97.5,31444,28397,13642
2022-04-28T00:00:00.000,Alaska,Kusilvak Census Area,97.5,6048,5551,2381
2022-04-28T00:00:00.000,Alaska,Wrangell City and Borough,97.5,1538,1449,838
2022-04-28T00:00:00.000,Alaska,Hoonah-Angoon Census Area,97.5,1595,1510,939
2022-04-28T00:00:00.000,Alaska,Sitka City and Borough,97.5,7131,6690,3797
2022-04-28T00:00:00.000,Alaska,Nome Census Area,97.5,7395,7067,3501
2022-04-28T00:00:00.000,Alaska,Yukon-Koyukuk Census Area,97.5,4362,4050,2176
2022-04-28T00:00:00.000,Alaska,Dillingham Census Area,97.5,2826,2574,1127
2022-04-28T00:00:00.000,Alaska,Yakutat City and Borough,97.5,474,455,243
2022-04-28T00:00:00.000,Alaska,Aleutians East Borough,97.5,2845,2512,913
2022-04-28T00:00:00.000,Alaska,Bethel Census Area,97.5,13310,12386,5856
2022-04-28T00:00:00.000,Alaska,Lake and Peninsula Borough,97.5,1013,916,534
2022-04-28T00:00:00.000,Alaska,Skagway Municipality,97.5,926,833,461
2022-04-28T00:00:00.000,Alaska,Fairbanks North Star Borough,97.5,66067,58331,20032
2022-04-28T00:00:00.000,Alaska,Kodiak Island Borough,97.5,9385,8485,4021
2022-04-28T00:00:00.000,Alaska,Prince of Wales-Hyder Census Area,97.5,3641,3320,1731
2022-04-28T00:00:00.000,Alaska,Valdez-Cordova Census Area,97.5,6278,5802,2656
