date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-03-18T00:00:00.000,Arkansas,Washington County,90.5,158617,131845,51173
2022-03-18T00:00:00.000,Arkansas,Cross County,90.5,9629,8320,3001
2022-03-18T00:00:00.000,Arkansas,Monroe County,90.5,4571,3709,1346
2022-03-18T00:00:00.000,Arkansas,Madison County,90.5,8281,7103,2766
2022-03-18T00:00:00.000,Arkansas,Ashley County,90.5,11432,9766,3751
2022-03-18T00:00:00.000,Arkansas,Izard County,90.5,5996,5131,2217
2022-03-18T00:00:00.000,Arkansas,Hempstead County,90.5,10647,8584,2337
2022-03-18T00:00:00.000,Arkansas,St. Francis County,90.5,14686,12450,4198
2022-03-18T00:00:00.000,Arkansas,Hot Spring County,90.5,16362,14292,5985
2022-03-18T00:00:00.000,Arkansas,Mississippi County,90.5,19611,16557,5851
2022-03-18T00:00:00.000,Arkansas,Pike County,90.5,5532,4465,1608
2022-03-18T00:00:00.000,Arkansas,Montgomery County,90.5,3816,3243,1336
2022-03-18T00:00:00.000,Arkansas,Phillips County,90.5,10382,8737,3336
2022-03-18T00:00:00.000,Arkansas,Crittenden County,90.5,26015,21257,6660
2022-03-18T00:00:00.000,Arkansas,Little River County,90.5,6008,4826,1570
2022-03-18T00:00:00.000,Arkansas,Miller County,90.5,17838,13457,3478
2022-03-18T00:00:00.000,Arkansas,Logan County,90.5,11486,10010,3782
2022-03-18T00:00:00.000,Arkansas,Clay County,90.5,7483,6603,2876
2022-03-18T00:00:00.000,Arkansas,Lee County,90.5,3772,2962,1217
2022-03-18T00:00:00.000,Arkansas,Columbia County,90.5,13601,11318,3630
2022-03-18T00:00:00.000,Arkansas,Crawford County,90.5,33720,28715,10931
2022-03-18T00:00:00.000,Arkansas,Lawrence County,90.5,8966,7617,2959
2022-03-18T00:00:00.000,Arkansas,Union County,90.5,23618,18799,6627
2022-03-18T00:00:00.000,Arkansas,Greene County,90.5,22310,19394,7659
2022-03-18T00:00:00.000,Arkansas,Searcy County,90.5,3543,3053,1268
2022-03-18T00:00:00.000,Arkansas,Unknown County,90.5,246216,154964,50683
2022-03-18T00:00:00.000,Arkansas,Franklin County,90.5,9573,8557,3171
2022-03-18T00:00:00.000,Arkansas,Van Buren County,90.5,7820,6865,3397
2022-03-18T00:00:00.000,Arkansas,Baxter County,90.5,22870,19539,8158
2022-03-18T00:00:00.000,Arkansas,Pope County,90.5,36666,31578,12127
2022-03-18T00:00:00.000,Arkansas,Stone County,90.5,5255,4514,2314
2022-03-18T00:00:00.000,Arkansas,Lafayette County,90.5,3258,2742,999
2022-03-18T00:00:00.000,Arkansas,Benton County,90.5,179919,147612,58244
2022-03-18T00:00:00.000,Arkansas,Cleveland County,90.5,4805,4186,1666
2022-03-18T00:00:00.000,Arkansas,Arkansas County,90.5,11291,9684,4000
2022-03-18T00:00:00.000,Arkansas,Poinsett County,90.5,12396,10458,3924
2022-03-18T00:00:00.000,Arkansas,Howard County,90.5,8406,7138,2436
