date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-03-18T00:00:00.000,California,Amador County,97.5,26528,20972,9459
2022-03-18T00:00:00.000,California,Nevada County,97.5,70932,63106,34080
2022-03-18T00:00:00.000,California,Humboldt County,97.5,97914,88683,48103
2022-03-18T00:00:00.000,California,Inyo County,,,,
2022-03-18T00:00:00.000,California,Lake County,97.5,42181,37826,17023
2022-03-18T00:00:00.000,California,Solano County,97.5,346840,300761,142581
2022-03-18T00:00:00.000,California,Tuolumne County,97.5,37826,30365,13511
2022-03-18T00:00:00.000,California,Yuba County,97.5,47402,42240,15262
2022-03-18T00:00:00.000,California,Modoc County,,,,
2022-03-18T00:00:00.000,California,Lassen County,97.5,12825,11434,4109
2022-03-18T00:00:00.000,California,Mariposa County,,,,
2022-03-18T00:00:00.000,California,San Mateo County,97.5,704446,638283,408375
2022-03-18T00:00:00.000,California,Sutter County,97.5,64779,58753,25158
2022-03-18T00:00:00.000,California,Trinity County,,,,
2022-03-18T00:00:00.000,California,Kern County,97.5,538631,478272,190171
2022-03-18T00:00:00.000,California,Santa Barbara County,97.5,351193,314548,156425
2022-03-18T00:00:00.000,California,Ventura County,97.5,666191,605100,302024
2022-03-18T00:00:00.000,California,Sacramento County,97.5,1139346,1039879,538229
2022-03-18T00:00:00.000,California,Del Norte County,97.5,13661,11905,5887
2022-03-18T00:00:00.000,California,San Francisco County,97.5,821180,731783,497574
2022-03-18T00:00:00.000,California,Plumas County,,,,
2022-03-18T00:00:00.000,California,Alameda County,97.5,1504552,1362179,815794
2022-03-18T00:00:00.000,California,Marin County,97.5,248741,228047,146790
2022-03-18T00:00:00.000,California,Placer County,97.5,288378,267423,146404
2022-03-18T00:00:00.000,California,Riverside County,97.5,1616427,1442449,634988
2022-03-18T00:00:00.000,California,Fresno County,97.5,677088,604737,263919
2022-03-18T00:00:00.000,California,Butte County,97.5,128459,116760,60054
2022-03-18T00:00:00.000,California,Calaveras County,97.5,31850,24620,10546
2022-03-18T00:00:00.000,California,Los Angeles County,97.5,8064114,7179399,3612597
2022-03-18T00:00:00.000,California,Contra Costa County,97.5,999466,936309,553204
2022-03-18T00:00:00.000,California,Stanislaus County,97.5,382761,293913,100953
2022-03-18T00:00:00.000,California,Colusa County,97.5,14548,12979,4525
2022-03-18T00:00:00.000,California,Mendocino County,97.5,65463,58206,27376
2022-03-18T00:00:00.000,California,Napa County,97.5,119516,106499,60063
2022-03-18T00:00:00.000,California,Sierra County,,,,
2022-03-18T00:00:00.000,California,San Diego County,97.5,3481381,2333800,685438
2022-03-18T00:00:00.000,California,Sonoma County,97.5,420829,382733,225950
2022-03-18T00:00:00.000,California,San Bernardino County,97.5,1384303,1249750,538398
2022-03-18T00:00:00.000,California,Tulare County,97.5,281787,249197,101239
2022-03-18T00:00:00.000,California,Santa Clara County,97.5,1799688,1650423,1027689
2022-03-18T00:00:00.000,California,El Dorado County,97.5,132381,120022,63173
2022-03-18T00:00:00.000,California,San Benito County,97.5,45578,41572,20963
2022-03-18T00:00:00.000,California,Monterey County,97.5,349224,310769,144383
2022-03-18T00:00:00.000,California,Shasta County,97.5,101653,89148,39086
2022-03-18T00:00:00.000,California,Siskiyou County,97.5,26142,23259,10350
2022-03-18T00:00:00.000,California,Glenn County,97.5,17603,15600,6593
2022-03-18T00:00:00.000,California,Unknown County,97.5,1058124,714613,192242
2022-03-18T00:00:00.000,California,Alpine County,,,,
2022-03-18T00:00:00.000,California,San Joaquin County,97.5,570867,441574,166732
2022-03-18T00:00:00.000,California,Imperial County,97.5,227589,163650,61223
2022-03-18T00:00:00.000,California,Mono County,,,,
2022-03-18T00:00:00.000,California,San Luis Obispo County,97.5,189453,170415,99887
2022-03-18T00:00:00.000,California,Kings County,97.5,87436,76241,26245
2022-03-18T00:00:00.000,California,Tehama County,97.5,31357,27607,12163
2022-03-18T00:00:00.000,California,Madera County,97.5,96057,83972,35622
2022-03-18T00:00:00.000,California,Orange County,97.5,2503243,2261376,1207533
2022-03-18T00:00:00.000,California,Merced County,97.5,179099,137749,46961
2022-03-18T00:00:00.000,California,Santa Cruz County,97.5,234480,212764,118915
2022-03-18T00:00:00.000,California,Yolo County,97.5,171352,153652,86410
