date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Colorado,Crowley County,97.1,1414,1321,627
2022-04-28T00:00:00.000,Colorado,Sedgwick County,97.1,1277,1180,621
2022-04-28T00:00:00.000,Colorado,Huerfano County,97.1,4086,3741,2054
2022-04-28T00:00:00.000,Colorado,Douglas County,97.1,281339,258192,144308
2022-04-28T00:00:00.000,Colorado,Eagle County,97.1,55795,45404,20639
2022-04-28T00:00:00.000,Colorado,Montezuma County,97.1,21052,18082,9244
2022-04-28T00:00:00.000,Colorado,Otero County,97.1,9652,9021,4566
2022-04-28T00:00:00.000,Colorado,Rio Blanco County,97.1,2792,2441,1091
2022-04-28T00:00:00.000,Colorado,Jefferson County,97.1,490589,451919,257479
2022-04-28T00:00:00.000,Colorado,Hinsdale County,97.1,542,527,292
2022-04-28T00:00:00.000,Colorado,Custer County,97.1,2708,2466,1529
2022-04-28T00:00:00.000,Colorado,Kit Carson County,97.1,2972,2765,1219
2022-04-28T00:00:00.000,Colorado,Phillips County,97.1,2476,2232,978
2022-04-28T00:00:00.000,Colorado,Elbert County,97.1,10985,10057,5283
2022-04-28T00:00:00.000,Colorado,Chaffee County,97.1,14140,13045,8165
2022-04-28T00:00:00.000,Colorado,Las Animas County,97.1,9660,8945,4640
2022-04-28T00:00:00.000,Colorado,Park County,97.1,9718,8941,4888
2022-04-28T00:00:00.000,Colorado,Costilla County,97.1,2436,2344,1354
2022-04-28T00:00:00.000,Colorado,Delta County,97.1,16381,14892,7952
2022-04-28T00:00:00.000,Colorado,Mineral County,97.1,664,638,400
2022-04-28T00:00:00.000,Colorado,Conejos County,97.1,4445,4060,2115
2022-04-28T00:00:00.000,Colorado,Kiowa County,97.1,545,528,278
2022-04-28T00:00:00.000,Colorado,Teller County,97.1,14459,13753,7465
2022-04-28T00:00:00.000,Colorado,Logan County,97.1,9106,8556,3897
2022-04-28T00:00:00.000,Colorado,Dolores County,97.1,990,864,419
2022-04-28T00:00:00.000,Colorado,San Miguel County,97.1,7864,6817,3725
2022-04-28T00:00:00.000,Colorado,Baca County,97.1,1454,1407,720
2022-04-28T00:00:00.000,Colorado,Jackson County,97.1,663,637,344
2022-04-28T00:00:00.000,Colorado,Lake County,97.1,5548,4862,2333
2022-04-28T00:00:00.000,Colorado,Gunnison County,97.1,13393,12107,6631
2022-04-28T00:00:00.000,Colorado,Rio Grande County,97.1,7862,7134,3767
2022-04-28T00:00:00.000,Colorado,Prowers County,97.1,5735,5239,2331
2022-04-28T00:00:00.000,Colorado,Washington County,97.1,1683,1518,716
2022-04-28T00:00:00.000,Colorado,Mesa County,97.1,84543,77003,41728
2022-04-28T00:00:00.000,Colorado,Weld County,97.1,212900,198884,95127
2022-04-28T00:00:00.000,Colorado,Summit County,97.1,30772,26311,13238
2022-04-28T00:00:00.000,Colorado,El Paso County,97.1,535946,465301,190536
2022-04-28T00:00:00.000,Colorado,San Juan County,97.1,781,690,381
2022-04-28T00:00:00.000,Colorado,La Plata County,97.1,44339,39724,23005
2022-04-28T00:00:00.000,Colorado,Broomfield County,97.1,60148,56854,34856
2022-04-28T00:00:00.000,Colorado,Fremont County,97.1,23953,21224,10517
2022-04-28T00:00:00.000,Colorado,Morgan County,97.1,15659,14072,5992
2022-04-28T00:00:00.000,Colorado,Bent County,97.1,1556,1498,850
2022-04-28T00:00:00.000,Colorado,Denver County,97.1,606102,552201,303797
2022-04-28T00:00:00.000,Colorado,Garfield County,97.1,42723,38827,18875
2022-04-28T00:00:00.000,Colorado,Alamosa County,97.1,10235,9166,4455
2022-04-28T00:00:00.000,Colorado,Clear Creek County,97.1,5303,4772,2585
2022-04-28T00:00:00.000,Colorado,Moffat County,97.1,6448,5773,2467
2022-04-28T00:00:00.000,Colorado,Adams County,97.1,382074,353216,166009
2022-04-28T00:00:00.000,Colorado,Arapahoe County,97.1,485547,448225,238794
2022-04-28T00:00:00.000,Colorado,Lincoln County,97.1,2134,2057,1052
2022-04-28T00:00:00.000,Colorado,Yuma County,97.1,4909,4415,1935
2022-04-28T00:00:00.000,Colorado,Routt County,97.1,21744,19416,11161
2022-04-28T00:00:00.000,Colorado,Larimer County,97.1,268612,242942,141683
2022-04-28T00:00:00.000,Colorado,Ouray County,97.1,3616,3255,2068
2022-04-28T00:00:00.000,Colorado,Gilpin County,97.1,4004,3630,2102
2022-04-28T00:00:00.000,Colorado,Grand County,97.1,11534,9937,5283
2022-04-28T00:00:00.000,Colorado,Cheyenne County,97.1,621,607,273
2022-04-28T00:00:00.000,Colorado,Pitkin County,97.1,18585,14766,7351
2022-04-28T00:00:00.000,Colorado,Saguache County,97.1,2642,2451,1450
2022-04-28T00:00:00.000,Colorado,Pueblo County,97.1,105397,95762,48258
2022-04-28T00:00:00.000,Colorado,Archuleta County,97.1,8991,8056,4478
2022-04-28T00:00:00.000,Colorado,Montrose County,97.1,23412,20967,10901
2022-04-28T00:00:00.000,Colorado,Boulder County,97.1,279342,256255,161696
2022-04-28T00:00:00.000,Colorado,Unknown County,97.1,248927,118407,29268
