date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-03-18T00:00:00.000,Florida,Hendry County,98.6,25178,20598,5352
2022-03-18T00:00:00.000,Florida,Lee County,98.6,553140,472976,198029
2022-03-18T00:00:00.000,Florida,Pinellas County,98.6,713363,624885,281560
2022-03-18T00:00:00.000,Florida,Okaloosa County,98.6,159380,133918,37626
2022-03-18T00:00:00.000,Florida,Okeechobee County,98.6,22744,19429,6174
2022-03-18T00:00:00.000,Florida,Gulf County,98.6,8073,6987,2634
2022-03-18T00:00:00.000,Florida,Monroe County,98.6,69481,57730,20916
2022-03-18T00:00:00.000,Florida,Taylor County,98.6,10342,8611,2759
2022-03-18T00:00:00.000,Florida,Columbia County,98.6,34820,29885,9888
2022-03-18T00:00:00.000,Florida,Jefferson County,98.6,10173,8467,3205
2022-03-18T00:00:00.000,Florida,Glades County,98.6,5668,4644,1866
2022-03-18T00:00:00.000,Florida,Clay County,98.6,139387,117667,41140
2022-03-18T00:00:00.000,Florida,Levy County,98.6,22696,19438,7291
2022-03-18T00:00:00.000,Florida,Gadsden County,98.6,29851,26331,10749
2022-03-18T00:00:00.000,Florida,Hillsborough County,98.6,1085934,915271,334304
2022-03-18T00:00:00.000,Florida,Lake County,98.6,275517,240111,101264
2022-03-18T00:00:00.000,Florida,Sumter County,98.6,118826,105113,58371
2022-03-18T00:00:00.000,Florida,Walton County,98.6,43304,36159,13827
2022-03-18T00:00:00.000,Florida,Martin County,98.6,118268,101660,43767
2022-03-18T00:00:00.000,Florida,Polk County,98.6,477328,410502,154377
2022-03-18T00:00:00.000,Florida,Putnam County,98.6,36754,31081,11516
2022-03-18T00:00:00.000,Florida,Duval County,98.6,670136,580178,213589
2022-03-18T00:00:00.000,Florida,Hardee County,98.6,13218,11454,3175
2022-03-18T00:00:00.000,Florida,Leon County,98.6,190767,165217,73499
2022-03-18T00:00:00.000,Florida,Volusia County,98.6,374081,327417,141265
2022-03-18T00:00:00.000,Florida,Palm Beach County,98.6,1143197,982657,406252
2022-03-18T00:00:00.000,Florida,Charlotte County,98.6,148271,122476,55824
2022-03-18T00:00:00.000,Florida,Escambia County,98.6,206312,176356,60030
2022-03-18T00:00:00.000,Florida,Citrus County,98.6,95379,83768,39125
2022-03-18T00:00:00.000,Florida,Osceola County,98.6,331413,271081,86645
2022-03-18T00:00:00.000,Florida,Baker County,98.6,12798,10537,2926
2022-03-18T00:00:00.000,Florida,DeSoto County,98.6,22092,17420,5350
2022-03-18T00:00:00.000,Florida,Miami-Dade County,98.6,2816187,2282637,731315
2022-03-18T00:00:00.000,Florida,Franklin County,98.6,6525,5797,2377
2022-03-18T00:00:00.000,Florida,Santa Rosa County,98.6,118802,99144,33401
2022-03-18T00:00:00.000,Florida,Indian River County,98.6,127384,106508,46926
2022-03-18T00:00:00.000,Florida,Madison County,98.6,10089,8477,3210
2022-03-18T00:00:00.000,Florida,Pasco County,98.6,372274,323505,133984
2022-03-18T00:00:00.000,Florida,Bay County,98.6,109179,92329,29545
2022-03-18T00:00:00.000,Florida,Flagler County,98.6,83225,72568,33820
2022-03-18T00:00:00.000,Florida,Unknown County,98.6,258232,192434,113308
2022-03-18T00:00:00.000,Florida,Washington County,98.6,9992,8241,2788
2022-03-18T00:00:00.000,Florida,Dixie County,98.6,7339,5738,1955
2022-03-18T00:00:00.000,Florida,Liberty County,98.6,3240,2846,929
2022-03-18T00:00:00.000,Florida,Suwannee County,98.6,19818,16835,6157
2022-03-18T00:00:00.000,Florida,Brevard County,98.6,451913,386264,159794
2022-03-18T00:00:00.000,Florida,Lafayette County,98.6,3697,3295,1069
2022-03-18T00:00:00.000,Florida,Jackson County,98.6,23860,19997,7045
2022-03-18T00:00:00.000,Florida,Collier County,98.6,313859,266667,106964
2022-03-18T00:00:00.000,Florida,Holmes County,98.6,6915,5750,1705
2022-03-18T00:00:00.000,Florida,Alachua County,98.6,202369,177088,78064
2022-03-18T00:00:00.000,Florida,Hamilton County,98.6,5847,5000,1755
2022-03-18T00:00:00.000,Florida,Orange County,98.6,1144615,958020,345572
2022-03-18T00:00:00.000,Florida,Sarasota County,98.6,355931,300230,143742
2022-03-18T00:00:00.000,Florida,Calhoun County,98.6,5794,4880,1582
2022-03-18T00:00:00.000,Florida,Highlands County,98.6,68172,55169,22243
2022-03-18T00:00:00.000,Florida,Broward County,98.6,1651608,1380665,521586
2022-03-18T00:00:00.000,Florida,Manatee County,98.6,287314,246486,105562
2022-03-18T00:00:00.000,Florida,Marion County,98.6,233920,206216,93634
2022-03-18T00:00:00.000,Florida,Gilchrist County,98.6,7840,6774,2467
2022-03-18T00:00:00.000,Florida,Wakulla County,98.6,18060,15018,5818
2022-03-18T00:00:00.000,Florida,St. Lucie County,98.6,221419,190169,76567
2022-03-18T00:00:00.000,Florida,Hernando County,98.6,119486,105629,44870
2022-03-18T00:00:00.000,Florida,Union County,98.6,7773,5415,1465
2022-03-18T00:00:00.000,Florida,Bradford County,98.6,14845,12428,3832
2022-03-18T00:00:00.000,Florida,Seminole County,98.6,323729,290628,132470
2022-03-18T00:00:00.000,Florida,St. Johns County,98.6,206357,185024,84391
2022-03-18T00:00:00.000,Florida,Nassau County,98.6,58348,50629,21188
