date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Georgia,Lee County,89.5,15855,13869,4942
2022-04-28T00:00:00.000,Georgia,Bryan County,89.5,25155,21407,6998
2022-04-28T00:00:00.000,Georgia,Calhoun County,89.5,3366,2999,1250
2022-04-28T00:00:00.000,Georgia,Dade County,89.5,9160,7399,2437
2022-04-28T00:00:00.000,Georgia,Decatur County,89.5,15063,12964,4475
2022-04-28T00:00:00.000,Georgia,Jasper County,89.5,5706,4956,1761
2022-04-28T00:00:00.000,Georgia,Whitfield County,89.5,51346,45413,15894
2022-04-28T00:00:00.000,Georgia,Pike County,89.5,6813,6185,2452
2022-04-28T00:00:00.000,Georgia,Tift County,89.5,19199,16415,5683
2022-04-28T00:00:00.000,Georgia,Berrien County,89.5,7764,6566,1875
2022-04-28T00:00:00.000,Georgia,Emanuel County,89.5,10497,9110,2890
2022-04-28T00:00:00.000,Georgia,Seminole County,89.5,4146,3686,1306
2022-04-28T00:00:00.000,Georgia,Gordon County,89.5,24820,21835,7808
2022-04-28T00:00:00.000,Georgia,Bulloch County,89.5,31354,27373,10565
2022-04-28T00:00:00.000,Georgia,Carroll County,89.5,52360,45445,16393
2022-04-28T00:00:00.000,Georgia,Charlton County,89.5,3929,3387,1052
2022-04-28T00:00:00.000,Georgia,Spalding County,89.5,30398,27023,11001
2022-04-28T00:00:00.000,Georgia,Hancock County,89.5,4576,4085,1795
2022-04-28T00:00:00.000,Georgia,Laurens County,89.5,25914,22148,7154
2022-04-28T00:00:00.000,Georgia,Long County,89.5,5014,4179,1218
2022-04-28T00:00:00.000,Georgia,McIntosh County,89.5,6681,5949,2374
2022-04-28T00:00:00.000,Georgia,Unknown County,89.5,971318,611589,151527
2022-04-28T00:00:00.000,Georgia,Bartow County,89.5,45839,40238,14706
2022-04-28T00:00:00.000,Georgia,Coweta County,89.5,75814,66273,26162
2022-04-28T00:00:00.000,Georgia,Crawford County,89.5,6078,5077,1609
2022-04-28T00:00:00.000,Georgia,Harris County,89.5,19967,17065,5430
2022-04-28T00:00:00.000,Georgia,Stewart County,89.5,2464,2157,957
2022-04-28T00:00:00.000,Georgia,Fayette County,89.5,79998,71274,33122
2022-04-28T00:00:00.000,Georgia,Gilmer County,89.5,14399,12830,5420
2022-04-28T00:00:00.000,Georgia,Henry County,89.5,119739,104059,40462
2022-04-28T00:00:00.000,Georgia,Newton County,89.5,54420,47166,17987
2022-04-28T00:00:00.000,Georgia,Quitman County,89.5,915,761,261
2022-04-28T00:00:00.000,Georgia,Upson County,89.5,13419,11997,5095
2022-04-28T00:00:00.000,Georgia,Jones County,89.5,14340,12611,4441
2022-04-28T00:00:00.000,Georgia,Schley County,89.5,2077,1831,642
2022-04-28T00:00:00.000,Georgia,Thomas County,89.5,24823,21772,8680
2022-04-28T00:00:00.000,Georgia,Toombs County,89.5,12723,11279,3826
2022-04-28T00:00:00.000,Georgia,Banks County,89.5,6718,5863,2163
2022-04-28T00:00:00.000,Georgia,Butts County,89.5,9907,8459,3189
2022-04-28T00:00:00.000,Georgia,Candler County,89.5,5191,4560,1625
2022-04-28T00:00:00.000,Georgia,Marion County,89.5,4124,3465,1261
2022-04-28T00:00:00.000,Georgia,Macon County,89.5,6374,5607,2153
2022-04-28T00:00:00.000,Georgia,Colquitt County,89.5,21265,18304,5420
2022-04-28T00:00:00.000,Georgia,Forsyth County,89.5,144579,129654,55286
2022-04-28T00:00:00.000,Georgia,Heard County,89.5,3911,3377,1209
2022-04-28T00:00:00.000,Georgia,Appling County,89.5,7568,6599,2218
2022-04-28T00:00:00.000,Georgia,Clinch County,89.5,3114,2649,690
2022-04-28T00:00:00.000,Georgia,Hart County,89.5,11896,10038,4023
2022-04-28T00:00:00.000,Georgia,Montgomery County,89.5,3723,3286,1178
2022-04-28T00:00:00.000,Georgia,Johnson County,89.5,3911,3414,1218
2022-04-28T00:00:00.000,Georgia,Oglethorpe County,89.5,7200,6461,2700
2022-04-28T00:00:00.000,Georgia,Chattooga County,89.5,10694,9444,3393
2022-04-28T00:00:00.000,Georgia,Baker County,89.5,1874,1574,527
2022-04-28T00:00:00.000,Georgia,Clay County,89.5,2111,1829,678
2022-04-28T00:00:00.000,Georgia,Liberty County,89.5,46716,38029,6450
2022-04-28T00:00:00.000,Georgia,Ben Hill County,89.5,7398,6438,2056
2022-04-28T00:00:00.000,Georgia,Cobb County,89.5,509015,444128,185955
2022-04-28T00:00:00.000,Georgia,Lamar County,89.5,7536,6645,2732
2022-04-28T00:00:00.000,Georgia,Wilkes County,89.5,5189,4708,1824
2022-04-28T00:00:00.000,Georgia,DeKalb County,89.5,495049,428342,187678
2022-04-28T00:00:00.000,Georgia,Murray County,89.5,16921,14913,5252
2022-04-28T00:00:00.000,Georgia,Richmond County,89.5,117315,100556,31174
2022-04-28T00:00:00.000,Georgia,Cherokee County,89.5,144898,128629,52384
2022-04-28T00:00:00.000,Georgia,Jackson County,89.5,34743,30886,12164
2022-04-28T00:00:00.000,Georgia,Hall County,89.5,105557,92410,33741
2022-04-28T00:00:00.000,Georgia,Ware County,89.5,15974,13758,4577
2022-04-28T00:00:00.000,Georgia,Webster County,89.5,1293,1149,491
2022-04-28T00:00:00.000,Georgia,Coffee County,89.5,18926,16130,4850
2022-04-28T00:00:00.000,Georgia,Elbert County,89.5,9115,8074,3081
2022-04-28T00:00:00.000,Georgia,Franklin County,89.5,9458,8395,2961
2022-04-28T00:00:00.000,Georgia,Glascock County,89.5,1120,984,361
2022-04-28T00:00:00.000,Georgia,Terrell County,89.5,5619,4965,1898
2022-04-28T00:00:00.000,Georgia,Muscogee County,89.5,105221,87735,30543
2022-04-28T00:00:00.000,Georgia,Turner County,89.5,4564,3984,1261
2022-04-28T00:00:00.000,Georgia,Screven County,89.5,7552,6737,2713
