date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-03-18T00:00:00.000,Idaho,Jerome County,97.8,12572,11145,3862
2022-03-18T00:00:00.000,Idaho,Nez Perce County,97.8,26736,22351,7888
2022-03-18T00:00:00.000,Idaho,Camas County,97.8,513,475,198
2022-03-18T00:00:00.000,Idaho,Cassia County,97.8,11409,9636,3006
2022-03-18T00:00:00.000,Idaho,Bear Lake County,97.8,3120,2815,1031
2022-03-18T00:00:00.000,Idaho,Unknown County,97.8,27561,21450,8407
2022-03-18T00:00:00.000,Idaho,Adams County,97.8,2044,1872,887
2022-03-18T00:00:00.000,Idaho,Bingham County,97.8,25159,22394,8104
2022-03-18T00:00:00.000,Idaho,Clark County,97.8,406,361,129
2022-03-18T00:00:00.000,Idaho,Ada County,97.8,341857,307226,141864
2022-03-18T00:00:00.000,Idaho,Elmore County,97.8,17951,14730,3631
2022-03-18T00:00:00.000,Idaho,Butte County,97.8,1394,1268,469
2022-03-18T00:00:00.000,Idaho,Jefferson County,97.8,14251,12730,4009
2022-03-18T00:00:00.000,Idaho,Idaho County,97.8,5704,5092,2361
2022-03-18T00:00:00.000,Idaho,Fremont County,97.8,6701,5866,2079
2022-03-18T00:00:00.000,Idaho,Caribou County,97.8,3072,2860,1213
2022-03-18T00:00:00.000,Idaho,Benewah County,97.8,5623,4746,2135
2022-03-18T00:00:00.000,Idaho,Minidoka County,97.8,9873,8578,2950
2022-03-18T00:00:00.000,Idaho,Latah County,97.8,26649,23339,10108
2022-03-18T00:00:00.000,Idaho,Shoshone County,97.8,6095,5512,2701
2022-03-18T00:00:00.000,Idaho,Blaine County,97.8,21492,18793,9255
2022-03-18T00:00:00.000,Idaho,Canyon County,97.8,119267,105708,39812
2022-03-18T00:00:00.000,Idaho,Payette County,97.8,8781,7584,2705
2022-03-18T00:00:00.000,Idaho,Lincoln County,97.8,2465,2206,817
2022-03-18T00:00:00.000,Idaho,Teton County,97.8,9100,7475,3017
2022-03-18T00:00:00.000,Idaho,Kootenai County,97.8,87649,76070,31769
2022-03-18T00:00:00.000,Idaho,Power County,97.8,4324,3940,1532
2022-03-18T00:00:00.000,Idaho,Clearwater County,97.8,4214,3693,1696
2022-03-18T00:00:00.000,Idaho,Bannock County,97.8,51404,45447,18914
2022-03-18T00:00:00.000,Idaho,Lemhi County,97.8,4222,3761,1927
2022-03-18T00:00:00.000,Idaho,Bonneville County,97.8,70609,63184,23599
2022-03-18T00:00:00.000,Idaho,Madison County,97.8,25484,21597,4774
2022-03-18T00:00:00.000,Idaho,Custer County,97.8,2242,2034,989
2022-03-18T00:00:00.000,Idaho,Gooding County,97.8,7619,6661,2384
2022-03-18T00:00:00.000,Idaho,Franklin County,97.8,7072,6170,2168
2022-03-18T00:00:00.000,Idaho,Boise County,97.8,3097,2623,1140
2022-03-18T00:00:00.000,Idaho,Boundary County,97.8,4729,4271,1752
2022-03-18T00:00:00.000,Idaho,Gem County,97.8,8277,7186,3034
2022-03-18T00:00:00.000,Idaho,Bonner County,97.8,22374,19594,9317
2022-03-18T00:00:00.000,Idaho,Washington County,97.8,4567,4086,1571
2022-03-18T00:00:00.000,Idaho,Oneida County,97.8,2335,2072,862
2022-03-18T00:00:00.000,Idaho,Lewis County,97.8,2296,1979,923
2022-03-18T00:00:00.000,Idaho,Owyhee County,97.8,4786,4171,1445
2022-03-18T00:00:00.000,Idaho,Twin Falls County,97.8,47506,43290,17494
2022-03-18T00:00:00.000,Idaho,Valley County,97.8,7921,7025,3619
