date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Illinois,Effingham County,98.3,18125,16706,8195
2022-04-28T00:00:00.000,Illinois,Piatt County,98.3,10901,10184,5571
2022-04-28T00:00:00.000,Illinois,Perry County,98.3,11702,10636,5093
2022-04-28T00:00:00.000,Illinois,Grundy County,98.3,32384,29646,14215
2022-04-28T00:00:00.000,Illinois,Mercer County,98.3,10481,9367,4594
2022-04-28T00:00:00.000,Illinois,Randolph County,98.3,18156,16699,7411
2022-04-28T00:00:00.000,Illinois,Ford County,98.3,8000,7523,3965
2022-04-28T00:00:00.000,Illinois,Logan County,98.3,16561,15531,7628
2022-04-28T00:00:00.000,Illinois,Lawrence County,98.3,7412,6428,2595
2022-04-28T00:00:00.000,Illinois,Macon County,98.3,60112,55673,28478
2022-04-28T00:00:00.000,Illinois,Greene County,98.3,6037,5736,2658
2022-04-28T00:00:00.000,Illinois,Iroquois County,98.3,14940,13928,7101
2022-04-28T00:00:00.000,Illinois,Mason County,98.3,7583,7198,3641
2022-04-28T00:00:00.000,Illinois,McDonough County,98.3,16051,14261,7066
2022-04-28T00:00:00.000,Illinois,Winnebago County,98.3,181186,164792,84916
2022-04-28T00:00:00.000,Illinois,Jackson County,98.3,32976,29780,15076
2022-04-28T00:00:00.000,Illinois,Monroe County,98.3,23889,21672,10998
2022-04-28T00:00:00.000,Illinois,Saline County,98.3,12613,11436,5624
2022-04-28T00:00:00.000,Illinois,Wabash County,98.3,6360,5680,2631
2022-04-28T00:00:00.000,Illinois,Hamilton County,98.3,3480,3191,1605
2022-04-28T00:00:00.000,Illinois,Richland County,98.3,7913,7460,3903
2022-04-28T00:00:00.000,Illinois,Will County,98.3,516432,470317,237440
2022-04-28T00:00:00.000,Illinois,Alexander County,98.3,2306,1918,780
2022-04-28T00:00:00.000,Illinois,Jasper County,98.3,4410,4054,2086
2022-04-28T00:00:00.000,Illinois,Johnson County,98.3,7265,6489,2994
2022-04-28T00:00:00.000,Illinois,Christian County,98.3,17440,15901,8242
2022-04-28T00:00:00.000,Illinois,Schuyler County,98.3,3984,3795,2028
2022-04-28T00:00:00.000,Illinois,Gallatin County,98.3,2981,2661,1219
2022-04-28T00:00:00.000,Illinois,Hardin County,98.3,1748,1600,773
2022-04-28T00:00:00.000,Illinois,Jefferson County,98.3,19748,17782,8565
2022-04-28T00:00:00.000,Illinois,Wayne County,98.3,6924,6400,2955
2022-04-28T00:00:00.000,Illinois,Unknown County,98.3,201276,148460,62819
2022-04-28T00:00:00.000,Illinois,Calhoun County,98.3,2680,2467,1281
2022-04-28T00:00:00.000,Illinois,Franklin County,98.3,19045,17320,7673
2022-04-28T00:00:00.000,Illinois,Stark County,98.3,3048,2863,1533
2022-04-28T00:00:00.000,Illinois,Coles County,98.3,25527,23425,11861
2022-04-28T00:00:00.000,Illinois,Edgar County,98.3,9323,8370,4092
2022-04-28T00:00:00.000,Illinois,Lee County,98.3,22025,20399,11133
2022-04-28T00:00:00.000,Illinois,Cumberland County,98.3,4586,4232,1837
2022-04-28T00:00:00.000,Illinois,Bureau County,98.3,20761,18605,9700
2022-04-28T00:00:00.000,Illinois,Cass County,98.3,8163,7546,3488
2022-04-28T00:00:00.000,Illinois,Henry County,98.3,31952,28852,14659
2022-04-28T00:00:00.000,Illinois,Brown County,98.3,3877,3544,1734
2022-04-28T00:00:00.000,Illinois,Stephenson County,98.3,29665,27200,14416
2022-04-28T00:00:00.000,Illinois,Vermilion County,98.3,38236,34764,16400
2022-04-28T00:00:00.000,Illinois,Marion County,98.3,18380,17067,8311
2022-04-28T00:00:00.000,Illinois,St. Clair County,98.3,186845,164918,71539
2022-04-28T00:00:00.000,Illinois,Williamson County,98.3,40606,37046,17492
2022-04-28T00:00:00.000,Illinois,Scott County,98.3,2215,2093,1098
2022-04-28T00:00:00.000,Illinois,Washington County,98.3,8633,8157,4181
2022-04-28T00:00:00.000,Illinois,Hancock County,98.3,10383,8599,3297
2022-04-28T00:00:00.000,Illinois,Marshall County,98.3,7101,6581,3622
2022-04-28T00:00:00.000,Illinois,Kendall County,98.3,96554,88960,43393
2022-04-28T00:00:00.000,Illinois,Rock Island County,98.3,100908,83086,34850
2022-04-28T00:00:00.000,Illinois,Massac County,98.3,6415,5667,2502
2022-04-28T00:00:00.000,Illinois,Putnam County,98.3,3561,3296,1827
2022-04-28T00:00:00.000,Illinois,Crawford County,98.3,10564,9588,4622
2022-04-28T00:00:00.000,Illinois,Jersey County,98.3,13112,12193,6060
2022-04-28T00:00:00.000,Illinois,LaSalle County,98.3,69123,63411,32799
2022-04-28T00:00:00.000,Illinois,Moultrie County,98.3,6856,6411,3421
2022-04-28T00:00:00.000,Illinois,Woodford County,98.3,22257,21075,11397
2022-04-28T00:00:00.000,Illinois,Edwards County,98.3,2785,2580,1195
2022-04-28T00:00:00.000,Illinois,DuPage County,98.3,774877,713775,402605
2022-04-28T00:00:00.000,Illinois,Morgan County,98.3,19877,18423,9483
2022-04-28T00:00:00.000,Illinois,Sangamon County,98.3,138018,126761,68260
2022-04-28T00:00:00.000,Illinois,Shelby County,98.3,9659,9102,4645
2022-04-28T00:00:00.000,Illinois,Clay County,98.3,5404,5078,2460
2022-04-28T00:00:00.000,Illinois,Henderson County,98.3,3760,3278,1526
2022-04-28T00:00:00.000,Illinois,Menard County,98.3,7503,6999,3654
2022-04-28T00:00:00.000,Illinois,Montgomery County,98.3,16150,14724,7272
2022-04-28T00:00:00.000,Illinois,DeKalb County,98.3,64562,59672,30365
2022-04-28T00:00:00.000,Illinois,De Witt County,98.3,8840,8283,4236
2022-04-28T00:00:00.000,Illinois,Knox County,98.3,32176,29512,15997
2022-04-28T00:00:00.000,Illinois,White County,98.3,7813,7058,3159
2022-04-28T00:00:00.000,Illinois,Adams County,98.3,37241,34299,15053
2022-04-28T00:00:00.000,Illinois,Pope County,98.3,1666,1503,682
2022-04-28T00:00:00.000,Illinois,Tazewell County,98.3,83170,78236,41160
2022-04-28T00:00:00.000,Illinois,Bond County,98.3,9720,9083,4292
2022-04-28T00:00:00.000,Illinois,Clinton County,98.3,24699,22498,10542
2022-04-28T00:00:00.000,Illinois,Kankakee County,98.3,62609,57695,27454
2022-04-28T00:00:00.000,Illinois,Whiteside County,98.3,35428,31976,16136
2022-04-28T00:00:00.000,Illinois,Carroll County,98.3,10498,9362,4350
2022-04-28T00:00:00.000,Illinois,Ogle County,98.3,31847,29446,15725
2022-04-28T00:00:00.000,Illinois,Pike County,98.3,6935,6432,2895
2022-04-28T00:00:00.000,Illinois,Boone County,98.3,35888,32951,16388
2022-04-28T00:00:00.000,Illinois,Douglas County,98.3,10344,9547,4602
2022-04-28T00:00:00.000,Illinois,Kane County,98.3,393464,359223,181167
2022-04-28T00:00:00.000,Illinois,Cook County,98.3,4223129,3750317,1929748
2022-04-28T00:00:00.000,Illinois,Lake County,98.3,622161,546694,271874
2022-04-28T00:00:00.000,Illinois,Livingston County,98.3,19581,18142,9383
2022-04-28T00:00:00.000,Illinois,Warren County,98.3,9084,8408,4448
2022-04-28T00:00:00.000,Illinois,Champaign County,98.3,151855,137066,76956
2022-04-28T00:00:00.000,Illinois,McLean County,98.3,119072,109526,58449
2022-04-28T00:00:00.000,Illinois,Clark County,98.3,8841,7649,3823
2022-04-28T00:00:00.000,Illinois,McHenry County,98.3,226122,207083,107847
2022-04-28T00:00:00.000,Illinois,Pulaski County,98.3,2654,2280,952
2022-04-28T00:00:00.000,Illinois,Madison County,98.3,182558,163923,78506
2022-04-28T00:00:00.000,Illinois,Fayette County,98.3,8477,7735,3743
2022-04-28T00:00:00.000,Illinois,Fulton County,98.3,21244,19855,10493
2022-04-28T00:00:00.000,Illinois,Jo Daviess County,98.3,18987,16595,7842
2022-04-28T00:00:00.000,Illinois,Union County,98.3,10387,9500,4648
2022-04-28T00:00:00.000,Illinois,Macoupin County,98.3,26733,24702,12416
2022-04-28T00:00:00.000,Illinois,Peoria County,98.3,119973,110411,58137
