date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Indiana,Henry County,98.6,27247,25046,11565
2022-04-28T00:00:00.000,Indiana,Wabash County,98.6,14150,12785,5650
2022-04-28T00:00:00.000,Indiana,Clay County,98.6,16398,14729,6249
2022-04-28T00:00:00.000,Indiana,Perry County,98.6,11944,10866,5404
2022-04-28T00:00:00.000,Indiana,Miami County,98.6,15763,14300,5647
2022-04-28T00:00:00.000,Indiana,Scott County,98.6,11597,10510,4902
2022-04-28T00:00:00.000,Indiana,Spencer County,98.6,10007,9023,4157
2022-04-28T00:00:00.000,Indiana,Dearborn County,98.6,34794,30544,12253
2022-04-28T00:00:00.000,Indiana,DeKalb County,98.6,20176,18453,8406
2022-04-28T00:00:00.000,Indiana,Randolph County,98.6,12684,11244,5358
2022-04-28T00:00:00.000,Indiana,Howard County,98.6,43260,39130,17597
2022-04-28T00:00:00.000,Indiana,Greene County,98.6,14614,13195,5962
2022-04-28T00:00:00.000,Indiana,Jasper County,98.6,17771,15926,7015
2022-04-28T00:00:00.000,Indiana,Posey County,98.6,13158,12067,5879
2022-04-28T00:00:00.000,Indiana,Shelby County,98.6,28783,25891,11033
2022-04-28T00:00:00.000,Indiana,Allen County,98.6,221057,198902,89646
2022-04-28T00:00:00.000,Indiana,Crawford County,98.6,4398,3950,1807
2022-04-28T00:00:00.000,Indiana,Grant County,98.6,30741,27635,11987
2022-04-28T00:00:00.000,Indiana,White County,98.6,14396,13166,6075
2022-04-28T00:00:00.000,Indiana,Union County,98.6,3933,3509,1536
2022-04-28T00:00:00.000,Indiana,Harrison County,98.6,23139,20637,9280
2022-04-28T00:00:00.000,Indiana,Floyd County,98.6,49942,44435,20417
2022-04-28T00:00:00.000,Indiana,Hamilton County,98.6,264652,240962,125875
2022-04-28T00:00:00.000,Indiana,Montgomery County,98.6,19277,17515,7731
2022-04-28T00:00:00.000,Indiana,Elkhart County,98.6,100510,88772,36924
2022-04-28T00:00:00.000,Indiana,Warren County,98.6,4184,3782,1676
2022-04-28T00:00:00.000,Indiana,Noble County,98.6,20403,18460,8115
2022-04-28T00:00:00.000,Indiana,Jackson County,98.6,26169,23501,10007
2022-04-28T00:00:00.000,Indiana,Pike County,98.6,7829,7147,3202
2022-04-28T00:00:00.000,Indiana,Kosciusko County,98.6,35915,32349,13657
2022-04-28T00:00:00.000,Indiana,Sullivan County,98.6,11229,10223,4440
2022-04-28T00:00:00.000,Indiana,Clinton County,98.6,17363,15648,6488
2022-04-28T00:00:00.000,Indiana,Fulton County,98.6,8860,7985,3671
2022-04-28T00:00:00.000,Indiana,Martin County,98.6,5029,4641,1915
