date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-03-18T00:00:00.000,Iowa,Clinton County,97.4,27888,25205,12742
2022-03-18T00:00:00.000,Iowa,Poweshiek County,97.4,11993,10771,6127
2022-03-18T00:00:00.000,Iowa,Adair County,97.4,3795,3514,2042
2022-03-18T00:00:00.000,Iowa,Page County,97.4,8775,8018,4258
2022-03-18T00:00:00.000,Iowa,Grundy County,97.4,7993,7562,4141
2022-03-18T00:00:00.000,Iowa,Hamilton County,97.4,10020,9332,5003
2022-03-18T00:00:00.000,Iowa,Monona County,97.4,4924,4618,2324
2022-03-18T00:00:00.000,Iowa,Palo Alto County,97.4,4804,4497,2395
2022-03-18T00:00:00.000,Iowa,Adams County,97.4,2146,2019,1123
2022-03-18T00:00:00.000,Iowa,Bremer County,97.4,15897,14908,8473
2022-03-18T00:00:00.000,Iowa,Polk County,97.4,362159,329221,172158
2022-03-18T00:00:00.000,Iowa,Woodbury County,97.4,64808,57728,23614
2022-03-18T00:00:00.000,Iowa,Lyon County,97.4,5474,4832,2116
2022-03-18T00:00:00.000,Iowa,Muscatine County,97.4,28211,25762,12113
2022-03-18T00:00:00.000,Iowa,Franklin County,97.4,5854,5475,2804
2022-03-18T00:00:00.000,Iowa,Wapello County,97.4,18668,17307,7949
2022-03-18T00:00:00.000,Iowa,Winnebago County,97.4,5805,5377,2762
2022-03-18T00:00:00.000,Iowa,Clayton County,97.4,9034,8354,4350
2022-03-18T00:00:00.000,Iowa,Davis County,97.4,3495,3287,1725
2022-03-18T00:00:00.000,Iowa,Dubuque County,97.4,66723,62277,34491
2022-03-18T00:00:00.000,Iowa,Kossuth County,97.4,8230,7662,4248
2022-03-18T00:00:00.000,Iowa,Harrison County,97.4,8227,7261,3157
2022-03-18T00:00:00.000,Iowa,Fayette County,97.4,11360,10661,6089
2022-03-18T00:00:00.000,Iowa,Mitchell County,97.4,5416,5142,2979
2022-03-18T00:00:00.000,Iowa,Ringgold County,97.4,2725,2550,1725
2022-03-18T00:00:00.000,Iowa,Union County,97.4,6736,6245,3519
2022-03-18T00:00:00.000,Iowa,Greene County,97.4,5474,5139,2719
2022-03-18T00:00:00.000,Iowa,Shelby County,97.4,7234,6740,3829
2022-03-18T00:00:00.000,Iowa,Guthrie County,97.4,6639,6196,3428
2022-03-18T00:00:00.000,Iowa,Scott County,97.4,122881,104368,48458
2022-03-18T00:00:00.000,Iowa,Emmet County,97.4,5200,4796,2351
2022-03-18T00:00:00.000,Iowa,Howard County,97.4,5074,4701,2696
2022-03-18T00:00:00.000,Iowa,Hardin County,97.4,9991,9419,5052
2022-03-18T00:00:00.000,Iowa,Monroe County,97.4,3778,3561,1887
2022-03-18T00:00:00.000,Iowa,Jones County,97.4,12823,12044,6900
2022-03-18T00:00:00.000,Iowa,Webster County,97.4,22313,20563,10478
2022-03-18T00:00:00.000,Iowa,Buena Vista County,97.4,14361,13221,5568
2022-03-18T00:00:00.000,Iowa,Calhoun County,97.4,6074,5728,3223
2022-03-18T00:00:00.000,Iowa,Jackson County,97.4,10838,10275,5939
2022-03-18T00:00:00.000,Iowa,Madison County,97.4,9474,8780,4715
2022-03-18T00:00:00.000,Iowa,Sioux County,97.4,15607,14474,6133
2022-03-18T00:00:00.000,Iowa,Unknown County,97.4,64284,50127,20530
2022-03-18T00:00:00.000,Iowa,Des Moines County,97.4,21803,19959,10252
2022-03-18T00:00:00.000,Iowa,Cerro Gordo County,97.4,28825,26649,14266
2022-03-18T00:00:00.000,Iowa,Dickinson County,97.4,11085,9977,5452
2022-03-18T00:00:00.000,Iowa,Mills County,97.4,9590,8326,3743
2022-03-18T00:00:00.000,Iowa,Van Buren County,97.4,3158,2949,1502
2022-03-18T00:00:00.000,Iowa,Cherokee County,97.4,6380,5917,3215
2022-03-18T00:00:00.000,Iowa,Jefferson County,97.4,9593,8749,4536
2022-03-18T00:00:00.000,Iowa,Lucas County,97.4,4133,3871,2231
2022-03-18T00:00:00.000,Iowa,Buchanan County,97.4,12035,11291,6069
2022-03-18T00:00:00.000,Iowa,Floyd County,97.4,8818,8243,4627
2022-03-18T00:00:00.000,Iowa,Winneshiek County,97.4,13344,12394,7668
2022-03-18T00:00:00.000,Iowa,Henry County,97.4,11538,10667,5590
2022-03-18T00:00:00.000,Iowa,Crawford County,97.4,9749,9027,4203
2022-03-18T00:00:00.000,Iowa,Fremont County,97.4,4031,3608,1724
2022-03-18T00:00:00.000,Iowa,Iowa County,97.4,10774,10112,5350
2022-03-18T00:00:00.000,Iowa,Marion County,97.4,18924,17536,9429
2022-03-18T00:00:00.000,Iowa,Marshall County,97.4,28113,25795,13170
2022-03-18T00:00:00.000,Iowa,Clay County,97.4,8998,8275,4375
2022-03-18T00:00:00.000,Iowa,O'Brien County,97.4,7318,6885,3626
2022-03-18T00:00:00.000,Iowa,Worth County,97.4,4066,3821,2129
2022-03-18T00:00:00.000,Iowa,Montgomery County,97.4,6190,5562,2870
2022-03-18T00:00:00.000,Iowa,Taylor County,97.4,3046,2863,1616
2022-03-18T00:00:00.000,Iowa,Humboldt County,97.4,5071,4749,2412
2022-03-18T00:00:00.000,Iowa,Johnson County,97.4,120661,108864,62257
2022-03-18T00:00:00.000,Iowa,Appanoose County,97.4,6345,5849,3093
2022-03-18T00:00:00.000,Iowa,Sac County,97.4,5420,5097,2826
2022-03-18T00:00:00.000,Iowa,Washington County,97.4,13424,12382,6521
2022-03-18T00:00:00.000,Iowa,Audubon County,97.4,3323,3189,1901
2022-03-18T00:00:00.000,Iowa,Dallas County,97.4,67257,62118,33196
2022-03-18T00:00:00.000,Iowa,Decatur County,97.4,3544,3189,1754
2022-03-18T00:00:00.000,Iowa,Butler County,97.4,8731,8252,4707
2022-03-18T00:00:00.000,Iowa,Clarke County,97.4,5521,5121,2527
2022-03-18T00:00:00.000,Iowa,Pottawattamie County,97.4,60879,53115,24369
2022-03-18T00:00:00.000,Iowa,Black Hawk County,97.4,85024,78418,40245
2022-03-18T00:00:00.000,Iowa,Mahaska County,97.4,10540,9734,5131
2022-03-18T00:00:00.000,Iowa,Wright County,97.4,7685,7166,3867
2022-03-18T00:00:00.000,Iowa,Plymouth County,97.4,14145,13160,6586
2022-03-18T00:00:00.000,Iowa,Benton County,97.4,16022,14903,7997
2022-03-18T00:00:00.000,Iowa,Cedar County,97.4,11886,11130,6163
2022-03-18T00:00:00.000,Iowa,Louisa County,97.4,6246,5799,2756
2022-03-18T00:00:00.000,Iowa,Linn County,97.4,162757,150141,84335
2022-03-18T00:00:00.000,Iowa,Tama County,97.4,11302,10510,5546
2022-03-18T00:00:00.000,Iowa,Ida County,97.4,3612,3338,1822
2022-03-18T00:00:00.000,Iowa,Warren County,97.4,33181,30672,16368
2022-03-18T00:00:00.000,Iowa,Jasper County,97.4,23252,21616,11643
2022-03-18T00:00:00.000,Iowa,Wayne County,97.4,2892,2692,1514
2022-03-18T00:00:00.000,Iowa,Boone County,97.4,18059,16857,9004
2022-03-18T00:00:00.000,Iowa,Cass County,97.4,7958,7426,4200
2022-03-18T00:00:00.000,Iowa,Story County,97.4,66139,61016,34114
2022-03-18T00:00:00.000,Iowa,Carroll County,97.4,13093,12411,6853
2022-03-18T00:00:00.000,Iowa,Hancock County,97.4,5595,5259,2830
