date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Kansas,Edwards County,93.6,1465,1364,653
2022-04-28T00:00:00.000,Kansas,Ford County,93.6,17832,15145,5241
2022-04-28T00:00:00.000,Kansas,Lyon County,93.6,21337,19125,8721
2022-04-28T00:00:00.000,Kansas,Phillips County,93.6,2478,2266,1042
2022-04-28T00:00:00.000,Kansas,Riley County,93.6,33133,29184,16080
2022-04-28T00:00:00.000,Kansas,Washington County,93.6,3165,2924,1657
2022-04-28T00:00:00.000,Kansas,Ness County,93.6,1626,1446,657
2022-04-28T00:00:00.000,Kansas,Greenwood County,93.6,3243,2963,1387
2022-04-28T00:00:00.000,Kansas,Kingman County,93.6,3738,3366,1504
2022-04-28T00:00:00.000,Kansas,Mitchell County,93.6,3346,3196,1726
2022-04-28T00:00:00.000,Kansas,Chautauqua County,93.6,1560,1342,625
2022-04-28T00:00:00.000,Kansas,Sumner County,93.6,11197,9931,4188
2022-04-28T00:00:00.000,Kansas,Wallace County,93.6,594,568,272
2022-04-28T00:00:00.000,Kansas,Geary County,93.6,37198,28454,4464
2022-04-28T00:00:00.000,Kansas,Marion County,93.6,6579,5830,2822
2022-04-28T00:00:00.000,Kansas,Atchison County,93.6,8687,7497,3367
2022-04-28T00:00:00.000,Kansas,Coffey County,93.6,4853,4372,2040
2022-04-28T00:00:00.000,Kansas,Comanche County,93.6,862,782,402
2022-04-28T00:00:00.000,Kansas,Dickinson County,93.6,12148,10422,3539
2022-04-28T00:00:00.000,Kansas,Graham County,93.6,1299,1226,659
2022-04-28T00:00:00.000,Kansas,Rush County,93.6,1716,1542,718
2022-04-28T00:00:00.000,Kansas,Shawnee County,93.6,124357,108887,55015
2022-04-28T00:00:00.000,Kansas,Crawford County,93.6,20662,18297,8356
2022-04-28T00:00:00.000,Kansas,Reno County,93.6,34221,30712,11099
2022-04-28T00:00:00.000,Kansas,Butler County,93.6,37716,32618,13741
2022-04-28T00:00:00.000,Kansas,Hamilton County,93.6,1217,1057,367
2022-04-28T00:00:00.000,Kansas,Meade County,93.6,2122,1649,517
2022-04-28T00:00:00.000,Kansas,Rawlins County,93.6,1172,1089,527
2022-04-28T00:00:00.000,Kansas,Anderson County,93.6,3830,3405,1689
2022-04-28T00:00:00.000,Kansas,Clark County,93.6,1011,927,444
2022-04-28T00:00:00.000,Kansas,Lane County,93.6,715,660,342
2022-04-28T00:00:00.000,Kansas,Linn County,93.6,3845,3437,1601
2022-04-28T00:00:00.000,Kansas,Pottawatomie County,93.6,11332,10067,5300
2022-04-28T00:00:00.000,Kansas,Cloud County,93.6,4748,4214,1843
2022-04-28T00:00:00.000,Kansas,Smith County,93.6,1728,1606,772
2022-04-28T00:00:00.000,Kansas,Franklin County,93.6,14960,13107,5929
2022-04-28T00:00:00.000,Kansas,Norton County,93.6,2912,2837,1367
2022-04-28T00:00:00.000,Kansas,Seward County,93.6,13553,9861,2531
2022-04-28T00:00:00.000,Kansas,Ellis County,93.6,16441,14196,6140
2022-04-28T00:00:00.000,Kansas,Harvey County,93.6,18280,16070,7579
2022-04-28T00:00:00.000,Kansas,Haskell County,93.6,1759,1554,657
2022-04-28T00:00:00.000,Kansas,Thomas County,93.6,3616,3234,1529
2022-04-28T00:00:00.000,Kansas,Elk County,93.6,962,860,438
2022-04-28T00:00:00.000,Kansas,Wyandotte County,93.6,116162,95387,32740
2022-04-28T00:00:00.000,Kansas,Hodgeman County,93.6,888,799,311
2022-04-28T00:00:00.000,Kansas,Russell County,93.6,3286,2954,1317
2022-04-28T00:00:00.000,Kansas,Kearny County,93.6,2384,2059,787
2022-04-28T00:00:00.000,Kansas,Marshall County,93.6,6801,6257,3324
2022-04-28T00:00:00.000,Kansas,Rice County,93.6,4717,4175,1762
2022-04-28T00:00:00.000,Kansas,Stevens County,93.6,2457,2144,860
2022-04-28T00:00:00.000,Kansas,Jefferson County,93.6,11741,10384,5076
2022-04-28T00:00:00.000,Kansas,Kiowa County,93.6,1396,1268,585
2022-04-28T00:00:00.000,Kansas,Logan County,93.6,1441,1309,593
2022-04-28T00:00:00.000,Kansas,Cherokee County,93.6,10890,9162,3232
2022-04-28T00:00:00.000,Kansas,Wabaunsee County,93.6,3580,3310,1895
2022-04-28T00:00:00.000,Kansas,McPherson County,93.6,17573,15854,7526
2022-04-28T00:00:00.000,Kansas,Unknown County,93.6,158026,114530,47924
2022-04-28T00:00:00.000,Kansas,Doniphan County,93.6,4214,3675,1311
2022-04-28T00:00:00.000,Kansas,Morton County,93.6,1242,1085,466
2022-04-28T00:00:00.000,Kansas,Jackson County,93.6,9327,8462,3754
2022-04-28T00:00:00.000,Kansas,Chase County,93.6,1353,1228,639
2022-04-28T00:00:00.000,Kansas,Clay County,93.6,5380,4843,2273
2022-04-28T00:00:00.000,Kansas,Sherman County,93.6,2878,2620,1189
2022-04-28T00:00:00.000,Kansas,Montgomery County,93.6,16877,14598,5993
2022-04-28T00:00:00.000,Kansas,Republic County,93.6,2534,2354,1078
2022-04-28T00:00:00.000,Kansas,Barber County,93.6,2334,2083,945
2022-04-28T00:00:00.000,Kansas,Leavenworth County,93.6,57722,48157,16740
2022-04-28T00:00:00.000,Kansas,Rooks County,93.6,2571,2389,1027
2022-04-28T00:00:00.000,Kansas,Cowley County,93.6,19399,16892,7297
2022-04-28T00:00:00.000,Kansas,Gray County,93.6,3088,2757,1180
2022-04-28T00:00:00.000,Kansas,Stafford County,93.6,2138,1934,920
2022-04-28T00:00:00.000,Kansas,Allen County,93.6,6480,5734,2866
2022-04-28T00:00:00.000,Kansas,Finney County,93.6,22753,17095,5323
2022-04-28T00:00:00.000,Kansas,Pratt County,93.6,5144,4505,2141
2022-04-28T00:00:00.000,Kansas,Sheridan County,93.6,993,895,444
2022-04-28T00:00:00.000,Kansas,Stanton County,93.6,1124,1022,399
2022-04-28T00:00:00.000,Kansas,Morris County,93.6,3461,3149,1716
2022-04-28T00:00:00.000,Kansas,Trego County,93.6,1161,1102,546
2022-04-28T00:00:00.000,Kansas,Wichita County,93.6,1148,1089,459
2022-04-28T00:00:00.000,Kansas,Grant County,93.6,3772,3402,1251
2022-04-28T00:00:00.000,Kansas,Osage County,93.6,9072,8156,4072
2022-04-28T00:00:00.000,Kansas,Labette County,93.6,10873,9719,4132
2022-04-28T00:00:00.000,Kansas,Osborne County,93.6,1565,1434,752
2022-04-28T00:00:00.000,Kansas,Bourbon County,93.6,5971,5356,2608
2022-04-28T00:00:00.000,Kansas,Harper County,93.6,2872,2622,1102
2022-04-28T00:00:00.000,Kansas,Cheyenne County,93.6,1348,1219,556
2022-04-28T00:00:00.000,Kansas,Ellsworth County,93.6,3643,3447,1816
2022-04-28T00:00:00.000,Kansas,Johnson County,93.6,571267,455825,193579
2022-04-28T00:00:00.000,Kansas,Gove County,93.6,1420,1271,690
2022-04-28T00:00:00.000,Kansas,Douglas County,93.6,99196,75831,37401
2022-04-28T00:00:00.000,Kansas,Sedgwick County,93.6,344142,280201,115693
2022-04-28T00:00:00.000,Kansas,Woodson County,93.6,1496,1325,695
2022-04-28T00:00:00.000,Kansas,Brown County,93.6,6514,5840,2875
2022-04-28T00:00:00.000,Kansas,Miami County,93.6,18558,16309,7401
2022-04-28T00:00:00.000,Kansas,Wilson County,93.6,4137,3763,1785
2022-04-28T00:00:00.000,Kansas,Barton County,93.6,12370,11171,5062
2022-04-28T00:00:00.000,Kansas,Decatur County,93.6,1221,1144,602
2022-04-28T00:00:00.000,Kansas,Saline County,93.6,30813,27342,12687
2022-04-28T00:00:00.000,Kansas,Jewell County,93.6,1446,1344,732
2022-04-28T00:00:00.000,Kansas,Nemaha County,93.6,5944,5581,2931
2022-04-28T00:00:00.000,Kansas,Scott County,93.6,2556,2319,926
2022-04-28T00:00:00.000,Kansas,Ottawa County,93.6,2912,2518,1070
2022-04-28T00:00:00.000,Kansas,Greeley County,93.6,678,633,301
2022-04-28T00:00:00.000,Kansas,Lincoln County,93.6,1413,1301,689
2022-04-28T00:00:00.000,Kansas,Neosho County,93.6,5470,4487,2385
2022-04-28T00:00:00.000,Kansas,Pawnee County,93.6,3735,3464,1827
