date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Kentucky,Calloway County,94,20671,17830,7820
2022-04-28T00:00:00.000,Kentucky,Breckinridge County,94,11744,10082,4263
2022-04-28T00:00:00.000,Kentucky,Henderson County,94,26640,23130,9733
2022-04-28T00:00:00.000,Kentucky,Grant County,94,13410,12295,5422
2022-04-28T00:00:00.000,Kentucky,Bullitt County,94,42006,37152,15904
2022-04-28T00:00:00.000,Kentucky,Fayette County,94,252829,215606,101618
2022-04-28T00:00:00.000,Kentucky,Marshall County,94,18867,16704,7634
2022-04-28T00:00:00.000,Kentucky,Boone County,94,94922,83193,36923
2022-04-28T00:00:00.000,Kentucky,Estill County,94,8096,7327,3197
2022-04-28T00:00:00.000,Kentucky,Martin County,94,6801,6071,1780
2022-04-28T00:00:00.000,Kentucky,Ohio County,94,10747,9543,4059
2022-04-28T00:00:00.000,Kentucky,Lewis County,94,5859,5198,2163
2022-04-28T00:00:00.000,Kentucky,Magoffin County,94,6958,6237,2851
2022-04-28T00:00:00.000,Kentucky,Jackson County,94,5443,4899,2057
2022-04-28T00:00:00.000,Kentucky,Woodford County,94,20390,17702,8575
2022-04-28T00:00:00.000,Kentucky,Harlan County,94,13577,12070,5179
2022-04-28T00:00:00.000,Kentucky,Menifee County,94,3223,2888,1391
2022-04-28T00:00:00.000,Kentucky,Edmonson County,94,4661,4211,1882
2022-04-28T00:00:00.000,Kentucky,Fulton County,94,4181,3519,1093
2022-04-28T00:00:00.000,Kentucky,Carroll County,94,5648,4965,2074
2022-04-28T00:00:00.000,Kentucky,Butler County,94,6409,5844,2484
2022-04-28T00:00:00.000,Kentucky,Kenton County,94,115684,101088,46051
2022-04-28T00:00:00.000,Kentucky,McCracken County,94,41941,36529,16134
2022-04-28T00:00:00.000,Kentucky,Warren County,94,58808,51431,24637
2022-04-28T00:00:00.000,Kentucky,Wolfe County,94,4289,3856,1728
2022-04-28T00:00:00.000,Kentucky,Christian County,94,29873,25723,8746
2022-04-28T00:00:00.000,Kentucky,Clay County,94,10008,8865,3345
2022-04-28T00:00:00.000,Kentucky,Morgan County,94,7070,6424,2864
2022-04-28T00:00:00.000,Kentucky,Letcher County,94,12492,11464,5233
2022-04-28T00:00:00.000,Kentucky,Lyon County,94,5372,4793,2409
2022-04-28T00:00:00.000,Kentucky,McCreary County,94,7578,6760,2452
2022-04-28T00:00:00.000,Kentucky,Russell County,94,9133,8222,3691
2022-04-28T00:00:00.000,Kentucky,Webster County,94,6764,5962,2398
2022-04-28T00:00:00.000,Kentucky,Franklin County,94,35119,31337,15192
2022-04-28T00:00:00.000,Kentucky,Oldham County,94,43148,38316,17413
2022-04-28T00:00:00.000,Kentucky,Greenup County,94,21483,18348,7626
2022-04-28T00:00:00.000,Kentucky,McLean County,94,5114,4707,2205
2022-04-28T00:00:00.000,Kentucky,Caldwell County,94,7493,6674,2970
