date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-03-18T00:00:00.000,Louisiana,Vernon Parish,96.8,31564,26595,4734
2022-03-18T00:00:00.000,Louisiana,Caldwell Parish,96.8,4236,3807,1522
2022-03-18T00:00:00.000,Louisiana,Iberia Parish,96.8,37171,32564,12339
2022-03-18T00:00:00.000,Louisiana,Ascension Parish,96.8,71210,64057,23401
2022-03-18T00:00:00.000,Louisiana,Webster Parish,96.8,18567,16392,6556
2022-03-18T00:00:00.000,Louisiana,Allen Parish,96.8,10340,9181,3583
2022-03-18T00:00:00.000,Louisiana,St. Helena Parish,96.8,3579,3168,1307
2022-03-18T00:00:00.000,Louisiana,Terrebonne Parish,96.8,58084,49769,16934
2022-03-18T00:00:00.000,Louisiana,St. Mary Parish,96.8,25307,22106,8090
2022-03-18T00:00:00.000,Louisiana,Tangipahoa Parish,96.8,70670,62087,22999
2022-03-18T00:00:00.000,Louisiana,Grant Parish,96.8,10522,9470,3160
2022-03-18T00:00:00.000,Louisiana,Franklin Parish,96.8,8388,7352,2713
2022-03-18T00:00:00.000,Louisiana,East Carroll Parish,96.8,3597,3151,1258
2022-03-18T00:00:00.000,Louisiana,Lafourche Parish,96.8,49548,43838,16177
2022-03-18T00:00:00.000,Louisiana,Pointe Coupee Parish,96.8,13242,11957,5228
2022-03-18T00:00:00.000,Louisiana,St. Charles Parish,96.8,33699,29954,11779
2022-03-18T00:00:00.000,Louisiana,Assumption Parish,96.8,10734,9438,3471
2022-03-18T00:00:00.000,Louisiana,St. Tammany Parish,96.8,164250,147015,60018
2022-03-18T00:00:00.000,Louisiana,Bienville Parish,96.8,7336,6447,2515
2022-03-18T00:00:00.000,Louisiana,East Feliciana Parish,96.8,8517,7699,3341
2022-03-18T00:00:00.000,Louisiana,Acadia Parish,96.8,36505,32634,11289
2022-03-18T00:00:00.000,Louisiana,Natchitoches Parish,96.8,18421,16382,6552
2022-03-18T00:00:00.000,Louisiana,Ouachita Parish,96.8,78739,68864,24927
2022-03-18T00:00:00.000,Louisiana,St. James Parish,96.8,12968,10857,4562
2022-03-18T00:00:00.000,Louisiana,Livingston Parish,96.8,63026,55709,18930
2022-03-18T00:00:00.000,Louisiana,Washington Parish,96.8,21797,19252,7749
2022-03-18T00:00:00.000,Louisiana,De Soto Parish,96.8,13248,11695,4135
2022-03-18T00:00:00.000,Louisiana,Union Parish,96.8,11145,9977,3969
2022-03-18T00:00:00.000,Louisiana,St. Landry Parish,96.8,38392,33959,13683
2022-03-18T00:00:00.000,Louisiana,Lincoln Parish,96.8,22919,20056,7701
2022-03-18T00:00:00.000,Louisiana,Orleans Parish,96.8,315208,269961,120629
2022-03-18T00:00:00.000,Louisiana,Lafayette Parish,96.8,137274,121856,46438
2022-03-18T00:00:00.000,Louisiana,Calcasieu Parish,96.8,99533,85663,29471
2022-03-18T00:00:00.000,Louisiana,Richland Parish,96.8,9598,8607,3289
2022-03-18T00:00:00.000,Louisiana,Sabine Parish,96.8,10622,9072,3042
2022-03-18T00:00:00.000,Louisiana,Catahoula Parish,96.8,4447,3833,1338
2022-03-18T00:00:00.000,Louisiana,Madison Parish,96.8,6028,4947,1640
2022-03-18T00:00:00.000,Louisiana,Plaquemines Parish,96.8,18239,15904,4764
2022-03-18T00:00:00.000,Louisiana,Cameron Parish,96.8,1403,1241,439
2022-03-18T00:00:00.000,Louisiana,Vermilion Parish,96.8,25645,22573,8342
2022-03-18T00:00:00.000,Louisiana,West Feliciana Parish,96.8,14967,13747,7731
2022-03-18T00:00:00.000,Louisiana,Red River Parish,96.8,3483,3086,1112
2022-03-18T00:00:00.000,Louisiana,Morehouse Parish,96.8,13324,11346,4618
2022-03-18T00:00:00.000,Louisiana,St. Martin Parish,96.8,23862,21392,8027
2022-03-18T00:00:00.000,Louisiana,Unknown County,96.8,88575,77897,21865
2022-03-18T00:00:00.000,Louisiana,Claiborne Parish,96.8,7010,6359,2680
2022-03-18T00:00:00.000,Louisiana,Bossier Parish,96.8,74363,63742,19521
2022-03-18T00:00:00.000,Louisiana,East Baton Rouge Parish,96.8,276772,244469,102873
2022-03-18T00:00:00.000,Louisiana,St. Bernard Parish,96.8,26162,22951,8070
2022-03-18T00:00:00.000,Louisiana,Beauregard Parish,96.8,15699,13327,4470
2022-03-18T00:00:00.000,Louisiana,St. John the Baptist Parish,96.8,29471,25433,9607
2022-03-18T00:00:00.000,Louisiana,Rapides Parish,96.8,74010,64057,22489
2022-03-18T00:00:00.000,Louisiana,La Salle Parish,96.8,7307,6632,1539
2022-03-18T00:00:00.000,Louisiana,Jefferson Davis Parish,96.8,12835,11478,4277
2022-03-18T00:00:00.000,Louisiana,Evangeline Parish,96.8,14445,12843,4494
2022-03-18T00:00:00.000,Louisiana,Caddo Parish,96.8,134663,115614,45308
2022-03-18T00:00:00.000,Louisiana,Jackson Parish,96.8,7431,6668,2303
2022-03-18T00:00:00.000,Louisiana,West Carroll Parish,96.8,4901,4382,1610
2022-03-18T00:00:00.000,Louisiana,Iberville Parish,96.8,20428,18108,7310
