date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Michigan,Charlevoix County,95.2,17404,16775,9814
2022-04-28T00:00:00.000,Michigan,Ottawa County,95.2,170348,168234,95057
2022-04-28T00:00:00.000,Michigan,Schoolcraft County,95.2,4562,4520,2658
2022-04-28T00:00:00.000,Michigan,Wexford County,95.2,17440,17307,9692
2022-04-28T00:00:00.000,Michigan,Alpena County,95.2,16032,15835,8870
2022-04-28T00:00:00.000,Michigan,Barry County,95.2,30930,30220,17056
2022-04-28T00:00:00.000,Michigan,St. Clair County,95.2,81992,79118,40467
2022-04-28T00:00:00.000,Michigan,Keweenaw County,95.2,1329,1235,739
2022-04-28T00:00:00.000,Michigan,Livingston County,95.2,117668,115510,65311
2022-04-28T00:00:00.000,Michigan,Luce County,95.2,2954,2790,1547
2022-04-28T00:00:00.000,Michigan,Washtenaw County,95.2,276261,261293,156383
2022-04-28T00:00:00.000,Michigan,Dickinson County,95.2,18542,16772,7829
2022-04-28T00:00:00.000,Michigan,Lenawee County,95.2,55033,52171,26633
2022-04-28T00:00:00.000,Michigan,Midland County,95.2,50647,49124,28207
2022-04-28T00:00:00.000,Michigan,Alcona County,95.2,6202,6062,3452
2022-04-28T00:00:00.000,Michigan,Huron County,95.2,17148,16761,9726
2022-04-28T00:00:00.000,Michigan,Presque Isle County,95.2,7744,7542,4615
2022-04-28T00:00:00.000,Michigan,St. Joseph County,95.2,28777,27586,13490
2022-04-28T00:00:00.000,Michigan,Ontonagon County,95.2,4254,3953,2402
2022-04-28T00:00:00.000,Michigan,Arenac County,95.2,7948,7628,4282
2022-04-28T00:00:00.000,Michigan,Mason County,95.2,17845,17684,10489
2022-04-28T00:00:00.000,Michigan,Clinton County,95.2,46750,45775,28023
2022-04-28T00:00:00.000,Michigan,Isabella County,95.2,32331,31236,17325
2022-04-28T00:00:00.000,Michigan,Kent County,95.2,,403296,221094
2022-04-28T00:00:00.000,Michigan,Manistee County,95.2,15024,14734,8734
2022-04-28T00:00:00.000,Michigan,Saginaw County,95.2,102820,101154,54832
2022-04-28T00:00:00.000,Michigan,Clare County,95.2,14699,14334,7859
2022-04-28T00:00:00.000,Michigan,Ionia County,95.2,30619,30537,16403
2022-04-28T00:00:00.000,Michigan,Jackson County,95.2,83735,83182,44421
2022-04-28T00:00:00.000,Michigan,Baraga County,95.2,5570,5005,2322
2022-04-28T00:00:00.000,Michigan,Houghton County,95.2,19307,18669,10159
2022-04-28T00:00:00.000,Michigan,Mackinac County,95.2,8978,8085,3963
2022-04-28T00:00:00.000,Michigan,Alger County,95.2,6075,5689,3252
2022-04-28T00:00:00.000,Michigan,Allegan County,95.2,62277,61692,34373
2022-04-28T00:00:00.000,Michigan,Cass County,95.2,25715,22572,9689
2022-04-28T00:00:00.000,Michigan,Berrien County,95.2,93798,86055,42289
2022-04-28T00:00:00.000,Michigan,Eaton County,95.2,64385,62974,36970
2022-04-28T00:00:00.000,Michigan,Monroe County,95.2,93931,85828,39213
2022-04-28T00:00:00.000,Michigan,Gladwin County,95.2,12617,12192,6870
2022-04-28T00:00:00.000,Michigan,Gratiot County,95.2,18960,18774,10331
2022-04-28T00:00:00.000,Michigan,Macomb County,95.2,509387,497085,256854
2022-04-28T00:00:00.000,Michigan,Sanilac County,95.2,18145,17556,9584
2022-04-28T00:00:00.000,Michigan,Ingham County,95.2,174235,167106,99656
2022-04-28T00:00:00.000,Michigan,Newaygo County,95.2,,21911,11663
2022-04-28T00:00:00.000,Michigan,Oceana County,95.2,,14378,7691
2022-04-28T00:00:00.000,Michigan,Osceola County,95.2,10003,9879,5451
2022-04-28T00:00:00.000,Michigan,Chippewa County,95.2,27899,26063,12347
2022-04-28T00:00:00.000,Michigan,Montcalm County,95.2,,27166,14653
2022-04-28T00:00:00.000,Michigan,Oscoda County,95.2,3703,3456,1903
2022-04-28T00:00:00.000,Michigan,Genesee County,95.2,213505,205516,108381
2022-04-28T00:00:00.000,Michigan,Oakland County,95.2,872841,833986,480082
2022-04-28T00:00:00.000,Michigan,Unknown County,95.2,754413,288830,144971
2022-04-28T00:00:00.000,Michigan,Iron County,95.2,6552,6185,3345
2022-04-28T00:00:00.000,Michigan,Benzie County,95.2,11808,11193,6768
2022-04-28T00:00:00.000,Michigan,Hillsdale County,95.2,18416,17673,8833
2022-04-28T00:00:00.000,Michigan,Roscommon County,95.2,14017,13513,8138
2022-04-28T00:00:00.000,Michigan,Van Buren County,95.2,,43405,23758
2022-04-28T00:00:00.000,Michigan,Kalamazoo County,95.2,165173,163041,96063
2022-04-28T00:00:00.000,Michigan,Lake County,95.2,7878,7596,3352
2022-04-28T00:00:00.000,Michigan,Mecosta County,95.2,,18257,10176
2022-04-28T00:00:00.000,Michigan,Bay County,95.2,61053,59116,32371
2022-04-28T00:00:00.000,Michigan,Tuscola County,95.2,24761,24057,12946
2022-04-28T00:00:00.000,Michigan,Gogebic County,95.2,9561,8902,4648
2022-04-28T00:00:00.000,Michigan,Montmorency County,95.2,5232,5078,2869
2022-04-28T00:00:00.000,Michigan,Otsego County,95.2,14174,13710,7527
2022-04-28T00:00:00.000,Michigan,Branch County,95.2,20690,19738,9897
2022-04-28T00:00:00.000,Michigan,Crawford County,95.2,7363,7172,3977
2022-04-28T00:00:00.000,Michigan,Shiawassee County,95.2,35870,35008,19601
2022-04-28T00:00:00.000,Michigan,Cheboygan County,95.2,14737,14186,7771
2022-04-28T00:00:00.000,Michigan,Delta County,95.2,23131,22054,11257
2022-04-28T00:00:00.000,Michigan,Menominee County,95.2,15678,13024,5327
2022-04-28T00:00:00.000,Michigan,Leelanau County,95.2,19148,17885,10367
2022-04-28T00:00:00.000,Michigan,Antrim County,95.2,14308,13564,7912
2022-04-28T00:00:00.000,Michigan,Emmet County,95.2,25134,24208,13852
2022-04-28T00:00:00.000,Michigan,Lapeer County,95.2,43113,41568,21952
2022-04-28T00:00:00.000,Michigan,Marquette County,95.2,44609,42784,25459
2022-04-28T00:00:00.000,Michigan,Missaukee County,95.2,7390,7334,3895
2022-04-28T00:00:00.000,Michigan,Grand Traverse County,95.2,65232,62605,37511
2022-04-28T00:00:00.000,Michigan,Wayne County,95.2,1009256,949271,476137
2022-04-28T00:00:00.000,Michigan,Kalkaska County,95.2,8746,8416,4500
2022-04-28T00:00:00.000,Michigan,Iosco County,95.2,14784,14134,7500
2022-04-28T00:00:00.000,Michigan,Ogemaw County,95.2,9816,9519,5275
2022-04-28T00:00:00.000,Michigan,Calhoun County,95.2,71163,70151,35626
2022-04-28T00:00:00.000,Michigan,Muskegon County,95.2,,95497,52547
