date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-03-18T00:00:00.000,Minnesota,Isanti County,94.6,18729,17383,9949
2022-03-18T00:00:00.000,Minnesota,Itasca County,94.6,27126,25396,15262
2022-03-18T00:00:00.000,Minnesota,Renville County,94.6,8404,7944,4327
2022-03-18T00:00:00.000,Minnesota,Carver County,94.6,75100,70504,43054
2022-03-18T00:00:00.000,Minnesota,Lake County,94.6,7320,7059,4443
2022-03-18T00:00:00.000,Minnesota,Roseau County,94.6,8393,7773,3780
2022-03-18T00:00:00.000,Minnesota,Lincoln County,94.6,3138,2979,1706
2022-03-18T00:00:00.000,Minnesota,Lyon County,94.6,15225,14339,7042
2022-03-18T00:00:00.000,Minnesota,Freeborn County,94.6,18353,17331,10051
2022-03-18T00:00:00.000,Minnesota,Houston County,94.6,12864,10938,3125
2022-03-18T00:00:00.000,Minnesota,Lake of the Woods County,94.6,2194,2056,1147
2022-03-18T00:00:00.000,Minnesota,St. Louis County,94.6,143559,131824,78884
2022-03-18T00:00:00.000,Minnesota,Steele County,94.6,23446,22212,13045
2022-03-18T00:00:00.000,Minnesota,Polk County,94.6,20507,18109,7539
2022-03-18T00:00:00.000,Minnesota,Red Lake County,94.6,2469,2279,1037
2022-03-18T00:00:00.000,Minnesota,Wabasha County,94.6,17219,15820,8329
2022-03-18T00:00:00.000,Minnesota,Chisago County,94.6,34762,32290,16711
2022-03-18T00:00:00.000,Minnesota,Traverse County,94.6,2219,2056,1028
2022-03-18T00:00:00.000,Minnesota,Brown County,94.6,17096,16425,9293
2022-03-18T00:00:00.000,Minnesota,Douglas County,94.6,23225,21792,13156
2022-03-18T00:00:00.000,Minnesota,Blue Earth County,94.6,43350,40802,21923
2022-03-18T00:00:00.000,Minnesota,Sibley County,94.6,7728,7268,4298
2022-03-18T00:00:00.000,Minnesota,Koochiching County,94.6,7507,7146,4324
2022-03-18T00:00:00.000,Minnesota,Lac qui Parle County,94.6,4044,3871,2431
2022-03-18T00:00:00.000,Minnesota,Otter Tail County,94.6,32358,29638,18129
2022-03-18T00:00:00.000,Minnesota,Pennington County,94.6,7619,7539,3936
2022-03-18T00:00:00.000,Minnesota,Olmsted County,94.6,128251,121142,77234
2022-03-18T00:00:00.000,Minnesota,Washington County,94.6,197607,183815,112578
2022-03-18T00:00:00.000,Minnesota,Watonwan County,94.6,6621,6335,3448
2022-03-18T00:00:00.000,Minnesota,Grant County,94.6,3452,3274,1756
2022-03-18T00:00:00.000,Minnesota,Unknown County,94.6,258336,208677,74687
2022-03-18T00:00:00.000,Minnesota,Pine County,94.6,15599,14386,8219
2022-03-18T00:00:00.000,Minnesota,Wilkin County,94.6,3995,3340,1157
2022-03-18T00:00:00.000,Minnesota,Pipestone County,94.6,5313,4954,2505
2022-03-18T00:00:00.000,Minnesota,Clay County,94.6,48006,37827,13477
2022-03-18T00:00:00.000,Minnesota,Cottonwood County,94.6,6597,6233,3323
2022-03-18T00:00:00.000,Minnesota,Cook County,94.6,4680,4371,2727
2022-03-18T00:00:00.000,Minnesota,Meeker County,94.6,11750,11122,6415
2022-03-18T00:00:00.000,Minnesota,Murray County,94.6,4754,4453,2668
2022-03-18T00:00:00.000,Minnesota,Stearns County,94.6,100799,94321,46516
2022-03-18T00:00:00.000,Minnesota,Yellow Medicine County,94.6,5803,5475,2890
2022-03-18T00:00:00.000,Minnesota,Nobles County,94.6,14248,13175,6160
2022-03-18T00:00:00.000,Minnesota,Ramsey County,94.6,425080,391714,222069
2022-03-18T00:00:00.000,Minnesota,Martin County,94.6,11504,10846,6311
2022-03-18T00:00:00.000,Minnesota,Fillmore County,94.6,15394,14365,7016
2022-03-18T00:00:00.000,Minnesota,Crow Wing County,94.6,39118,36593,21207
2022-03-18T00:00:00.000,Minnesota,Stevens County,94.6,5972,5646,2998
2022-03-18T00:00:00.000,Minnesota,Kanabec County,94.6,7464,6974,4454
2022-03-18T00:00:00.000,Minnesota,Le Sueur County,94.6,14978,14142,9664
2022-03-18T00:00:00.000,Minnesota,Marshall County,94.6,5070,4638,2140
2022-03-18T00:00:00.000,Minnesota,Pope County,94.6,6829,6415,3782
2022-03-18T00:00:00.000,Minnesota,Kittson County,94.6,2830,2534,1385
2022-03-18T00:00:00.000,Minnesota,Rice County,94.6,44672,42013,23190
2022-03-18T00:00:00.000,Minnesota,Hubbard County,94.6,10948,10108,6288
2022-03-18T00:00:00.000,Minnesota,Aitkin County,94.6,10002,9302,5816
2022-03-18T00:00:00.000,Minnesota,Norman County,94.6,4207,3813,1925
2022-03-18T00:00:00.000,Minnesota,Beltrami County,94.6,35142,31533,15393
2022-03-18T00:00:00.000,Minnesota,Redwood County,94.6,8589,8190,4660
2022-03-18T00:00:00.000,Minnesota,Rock County,94.6,5716,5001,2452
2022-03-18T00:00:00.000,Minnesota,Winona County,94.6,35630,32576,17120
2022-03-18T00:00:00.000,Minnesota,Scott County,94.6,109976,103159,56106
2022-03-18T00:00:00.000,Minnesota,Wright County,94.6,79590,75564,39358
2022-03-18T00:00:00.000,Minnesota,Mahnomen County,94.6,3695,3245,1452
2022-03-18T00:00:00.000,Minnesota,Anoka County,94.6,223557,210471,122762
2022-03-18T00:00:00.000,Minnesota,Hennepin County,94.6,1012347,931909,553913
2022-03-18T00:00:00.000,Minnesota,Wadena County,94.6,7267,6782,3511
2022-03-18T00:00:00.000,Minnesota,Mower County,94.6,26344,24792,13815
2022-03-18T00:00:00.000,Minnesota,Swift County,94.6,5661,5323,3025
2022-03-18T00:00:00.000,Minnesota,Becker County,94.6,20329,18539,9918
2022-03-18T00:00:00.000,Minnesota,Chippewa County,94.6,6712,6249,3811
2022-03-18T00:00:00.000,Minnesota,Goodhue County,94.6,32534,30721,18420
2022-03-18T00:00:00.000,Minnesota,Mille Lacs County,94.6,16391,15081,6775
2022-03-18T00:00:00.000,Minnesota,Benton County,94.6,19067,17697,10642
2022-03-18T00:00:00.000,Minnesota,Carlton County,94.6,24622,23016,13926
2022-03-18T00:00:00.000,Minnesota,Jackson County,94.6,5419,4991,2786
2022-03-18T00:00:00.000,Minnesota,Nicollet County,94.6,22544,21374,12962
2022-03-18T00:00:00.000,Minnesota,Big Stone County,94.6,3339,3138,1731
2022-03-18T00:00:00.000,Minnesota,Faribault County,94.6,8183,7808,4353
2022-03-18T00:00:00.000,Minnesota,Dodge County,94.6,13120,12618,7087
2022-03-18T00:00:00.000,Minnesota,Clearwater County,94.6,3927,3668,1905
2022-03-18T00:00:00.000,Minnesota,Dakota County,94.6,318510,296774,179883
2022-03-18T00:00:00.000,Minnesota,McLeod County,94.6,22143,20707,11223
2022-03-18T00:00:00.000,Minnesota,Morrison County,94.6,17884,16342,9025
2022-03-18T00:00:00.000,Minnesota,Waseca County,94.6,11177,10588,6155
2022-03-18T00:00:00.000,Minnesota,Kandiyohi County,94.6,25038,23234,13164
2022-03-18T00:00:00.000,Minnesota,Cass County,94.6,18733,16857,9630
2022-03-18T00:00:00.000,Minnesota,Todd County,94.6,11111,10538,6109
2022-03-18T00:00:00.000,Minnesota,Sherburne County,94.6,47926,44568,25001
