date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-03-18T00:00:00.000,Mississippi,Claiborne County,98.1,5665,4905,1954
2022-03-18T00:00:00.000,Mississippi,Webster County,98.1,5156,4632,1835
2022-03-18T00:00:00.000,Mississippi,Wayne County,98.1,9035,7840,2646
2022-03-18T00:00:00.000,Mississippi,Jones County,98.1,33889,29357,10251
2022-03-18T00:00:00.000,Mississippi,Tunica County,98.1,5734,4943,1694
2022-03-18T00:00:00.000,Mississippi,Grenada County,98.1,12248,10829,3947
2022-03-18T00:00:00.000,Mississippi,Monroe County,98.1,19836,17709,6661
2022-03-18T00:00:00.000,Mississippi,Franklin County,98.1,4200,3688,1305
2022-03-18T00:00:00.000,Mississippi,Lawrence County,98.1,7909,6916,2528
2022-03-18T00:00:00.000,Mississippi,Attala County,98.1,11134,9797,3572
2022-03-18T00:00:00.000,Mississippi,George County,98.1,11386,9832,2733
2022-03-18T00:00:00.000,Mississippi,Clarke County,98.1,10088,8783,2728
2022-03-18T00:00:00.000,Mississippi,Lafayette County,98.1,32758,29528,11693
2022-03-18T00:00:00.000,Mississippi,Tate County,98.1,14403,12636,4372
2022-03-18T00:00:00.000,Mississippi,Covington County,98.1,11144,9518,3251
2022-03-18T00:00:00.000,Mississippi,Noxubee County,98.1,6320,5718,2408
2022-03-18T00:00:00.000,Mississippi,Pike County,98.1,22767,19665,7600
2022-03-18T00:00:00.000,Mississippi,Humphreys County,98.1,5529,4689,1758
2022-03-18T00:00:00.000,Mississippi,Pontotoc County,98.1,14949,13282,5106
2022-03-18T00:00:00.000,Mississippi,Montgomery County,98.1,6004,5427,2112
2022-03-18T00:00:00.000,Mississippi,Carroll County,98.1,4594,4087,1462
2022-03-18T00:00:00.000,Mississippi,Chickasaw County,98.1,9320,8227,2870
2022-03-18T00:00:00.000,Mississippi,Jasper County,98.1,9584,8250,3011
2022-03-18T00:00:00.000,Mississippi,Smith County,98.1,6227,5410,1864
2022-03-18T00:00:00.000,Mississippi,Harrison County,98.1,132221,113761,34945
2022-03-18T00:00:00.000,Mississippi,Union County,98.1,12581,11250,4136
2022-03-18T00:00:00.000,Mississippi,Hinds County,98.1,152354,133291,54310
2022-03-18T00:00:00.000,Mississippi,Lauderdale County,98.1,43728,37760,12358
2022-03-18T00:00:00.000,Mississippi,Simpson County,98.1,13727,11940,4370
2022-03-18T00:00:00.000,Mississippi,Warren County,98.1,29624,25951,10319
2022-03-18T00:00:00.000,Mississippi,Choctaw County,98.1,3430,2958,1045
2022-03-18T00:00:00.000,Mississippi,Leflore County,98.1,19897,17377,6402
2022-03-18T00:00:00.000,Mississippi,Tippah County,98.1,10600,9177,3362
2022-03-18T00:00:00.000,Mississippi,Oktibbeha County,98.1,28383,25320,9922
2022-03-18T00:00:00.000,Mississippi,Benton County,98.1,4912,4226,1507
2022-03-18T00:00:00.000,Mississippi,Marshall County,98.1,22561,18989,6499
2022-03-18T00:00:00.000,Mississippi,Panola County,98.1,18453,16175,5517
2022-03-18T00:00:00.000,Mississippi,Leake County,98.1,12705,10984,3716
2022-03-18T00:00:00.000,Mississippi,Perry County,98.1,5121,4522,1462
2022-03-18T00:00:00.000,Mississippi,Walthall County,98.1,6706,5886,2112
2022-03-18T00:00:00.000,Mississippi,Lamar County,98.1,41947,37468,13665
2022-03-18T00:00:00.000,Mississippi,Tallahatchie County,98.1,6501,5710,2059
2022-03-18T00:00:00.000,Mississippi,Stone County,98.1,9684,8362,3039
2022-03-18T00:00:00.000,Mississippi,Yazoo County,98.1,16355,14521,4976
2022-03-18T00:00:00.000,Mississippi,Lincoln County,98.1,15280,13172,4412
2022-03-18T00:00:00.000,Mississippi,Yalobusha County,98.1,8856,7866,2971
2022-03-18T00:00:00.000,Mississippi,Sunflower County,98.1,14994,13264,5041
2022-03-18T00:00:00.000,Mississippi,Greene County,98.1,5655,5029,1878
2022-03-18T00:00:00.000,Mississippi,Itawamba County,98.1,9161,8077,2911
2022-03-18T00:00:00.000,Mississippi,Quitman County,98.1,4162,3623,1329
2022-03-18T00:00:00.000,Mississippi,Lee County,98.1,41978,36979,14441
