date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Missouri,Washington County,91.3,9283,7904,3259
2022-04-28T00:00:00.000,Missouri,Caldwell County,91.3,4026,3544,1535
2022-04-28T00:00:00.000,Missouri,Iron County,91.3,4437,3946,1498
2022-04-28T00:00:00.000,Missouri,Miller County,91.3,9773,8584,3481
2022-04-28T00:00:00.000,Missouri,Moniteau County,91.3,6479,5794,2641
2022-04-28T00:00:00.000,Missouri,Pike County,91.3,7766,6860,2675
2022-04-28T00:00:00.000,Missouri,St. Clair County,91.3,3712,3239,1561
2022-04-28T00:00:00.000,Missouri,Dade County,91.3,3689,3269,1346
2022-04-28T00:00:00.000,Missouri,Pettis County,91.3,20901,18116,7250
2022-04-28T00:00:00.000,Missouri,Polk County,91.3,14368,12519,5511
2022-04-28T00:00:00.000,Missouri,Wayne County,91.3,5418,4680,1632
2022-04-28T00:00:00.000,Missouri,Butler County,91.3,17428,14655,5396
2022-04-28T00:00:00.000,Missouri,Knox County,91.3,1732,1578,844
2022-04-28T00:00:00.000,Missouri,Clinton County,91.3,11444,9658,4142
2022-04-28T00:00:00.000,Missouri,Gasconade County,91.3,8232,7458,3051
2022-04-28T00:00:00.000,Missouri,Reynolds County,91.3,1982,1704,784
2022-04-28T00:00:00.000,Missouri,Callaway County,91.3,24287,21208,9171
2022-04-28T00:00:00.000,Missouri,Carter County,91.3,2371,1955,748
2022-04-28T00:00:00.000,Missouri,Douglas County,91.3,3578,3185,1299
2022-04-28T00:00:00.000,Missouri,Jefferson County,91.3,116401,101014,46934
2022-04-28T00:00:00.000,Missouri,Shelby County,91.3,3069,2790,1300
2022-04-28T00:00:00.000,Missouri,Warren County,91.3,16631,14913,6977
2022-04-28T00:00:00.000,Missouri,Crawford County,91.3,9193,8040,3477
2022-04-28T00:00:00.000,Missouri,Perry County,91.3,8434,7595,3195
2022-04-28T00:00:00.000,Missouri,Gentry County,91.3,3234,2858,1217
2022-04-28T00:00:00.000,Missouri,Scotland County,91.3,1498,1299,616
2022-04-28T00:00:00.000,Missouri,Daviess County,91.3,3122,2749,1250
2022-04-28T00:00:00.000,Missouri,St. Charles County,91.3,280965,246588,116136
2022-04-28T00:00:00.000,Missouri,Stoddard County,91.3,13219,11551,4076
2022-04-28T00:00:00.000,Missouri,Clark County,91.3,2525,2125,1030
2022-04-28T00:00:00.000,Missouri,Unknown County,91.3,378615,299241,79700
2022-04-28T00:00:00.000,Missouri,Henry County,91.3,11495,10058,4378
2022-04-28T00:00:00.000,Missouri,Madison County,91.3,5565,4803,2013
2022-04-28T00:00:00.000,Missouri,Jasper County,91.3,66841,57532,20549
2022-04-28T00:00:00.000,Missouri,Andrew County,91.3,7724,6786,3417
2022-04-28T00:00:00.000,Missouri,Monroe County,91.3,4426,3840,1671
2022-04-28T00:00:00.000,Missouri,Ray County,91.3,10365,9182,4437
2022-04-28T00:00:00.000,Missouri,Shannon County,91.3,2737,2499,1121
2022-04-28T00:00:00.000,Missouri,Boone County,91.3,130786,111680,47356
2022-04-28T00:00:00.000,Missouri,Lafayette County,91.3,17115,14949,6519
2022-04-28T00:00:00.000,Missouri,Ste. Genevieve County,91.3,8889,8046,4069
2022-04-28T00:00:00.000,Missouri,Sullivan County,91.3,3040,2640,1017
2022-04-28T00:00:00.000,Missouri,Lewis County,91.3,4154,3330,1293
2022-04-28T00:00:00.000,Missouri,Dent County,91.3,6367,5323,2055
2022-04-28T00:00:00.000,Missouri,Bates County,91.3,7155,6286,2734
2022-04-28T00:00:00.000,Missouri,Greene County,91.3,165976,144569,65617
2022-04-28T00:00:00.000,Missouri,Morgan County,91.3,8713,7615,2986
2022-04-28T00:00:00.000,Missouri,Atchison County,91.3,3342,2883,1300
2022-04-28T00:00:00.000,Missouri,Cole County,91.3,46380,40517,17271
2022-04-28T00:00:00.000,Missouri,Cooper County,91.3,8977,7881,3342
2022-04-28T00:00:00.000,Missouri,Holt County,91.3,2118,1851,854
2022-04-28T00:00:00.000,Missouri,Texas County,91.3,9508,8325,3371
