date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Montana,Carter County,95.8,436,390,184
2022-04-28T00:00:00.000,Montana,Cascade County,95.8,50314,44498,18255
2022-04-28T00:00:00.000,Montana,Dawson County,95.8,3567,3249,1620
2022-04-28T00:00:00.000,Montana,Wheatland County,95.8,840,763,380
2022-04-28T00:00:00.000,Montana,Daniels County,95.8,764,714,347
2022-04-28T00:00:00.000,Montana,Flathead County,95.8,51401,44276,21596
2022-04-28T00:00:00.000,Montana,Judith Basin County,95.8,859,794,390
2022-04-28T00:00:00.000,Montana,Pondera County,95.8,3733,3231,1462
2022-04-28T00:00:00.000,Montana,Sheridan County,95.8,1682,1603,914
2022-04-28T00:00:00.000,Montana,Golden Valley County,95.8,423,380,160
2022-04-28T00:00:00.000,Montana,Lincoln County,95.8,8003,7052,3762
2022-04-28T00:00:00.000,Montana,Toole County,95.8,2364,2195,832
2022-04-28T00:00:00.000,Montana,Broadwater County,95.8,2619,2104,971
2022-04-28T00:00:00.000,Montana,Wibaux County,95.8,299,276,118
2022-04-28T00:00:00.000,Montana,Ravalli County,95.8,23940,21366,11428
2022-04-28T00:00:00.000,Montana,McCone County,95.8,308,298,223
2022-04-28T00:00:00.000,Montana,Richland County,95.8,4633,4300,1856
2022-04-28T00:00:00.000,Montana,Chouteau County,95.8,2030,1865,1215
2022-04-28T00:00:00.000,Montana,Meagher County,95.8,991,940,490
2022-04-28T00:00:00.000,Montana,Musselshell County,95.8,1773,1614,725
2022-04-28T00:00:00.000,Montana,Valley County,95.8,3718,3431,1745
2022-04-28T00:00:00.000,Montana,Liberty County,95.8,800,797,451
2022-04-28T00:00:00.000,Montana,Park County,95.8,11713,9762,5036
2022-04-28T00:00:00.000,Montana,Garfield County,95.8,277,244,88
2022-04-28T00:00:00.000,Montana,Gallatin County,95.8,80068,67812,33065
2022-04-28T00:00:00.000,Montana,Unknown County,95.8,36945,25401,8269
2022-04-28T00:00:00.000,Montana,Petroleum County,95.8,159,150,83
2022-04-28T00:00:00.000,Montana,Treasure County,95.8,368,336,147
2022-04-28T00:00:00.000,Montana,Custer County,95.8,5592,5026,2347
2022-04-28T00:00:00.000,Montana,Madison County,95.8,4366,3835,2031
2022-04-28T00:00:00.000,Montana,Lake County,95.8,19544,17272,8821
2022-04-28T00:00:00.000,Montana,Mineral County,95.8,2742,2396,1206
2022-04-28T00:00:00.000,Montana,Powder River County,95.8,424,385,166
2022-04-28T00:00:00.000,Montana,Stillwater County,95.8,4494,4063,2035
2022-04-28T00:00:00.000,Montana,Granite County,95.8,1413,1248,618
2022-04-28T00:00:00.000,Montana,Carbon County,95.8,5589,5064,2643
2022-04-28T00:00:00.000,Montana,Beaverhead County,95.8,5567,5121,2624
2022-04-28T00:00:00.000,Montana,Powell County,95.8,3380,3126,1525
2022-04-28T00:00:00.000,Montana,Sweet Grass County,95.8,1649,1526,790
2022-04-28T00:00:00.000,Montana,Glacier County,95.8,16027,11742,3795
2022-04-28T00:00:00.000,Montana,Rosebud County,95.8,8933,7569,3120
2022-04-28T00:00:00.000,Montana,Big Horn County,95.8,14000,11908,3942
2022-04-28T00:00:00.000,Montana,Fallon County,95.8,1059,983,462
2022-04-28T00:00:00.000,Montana,Prairie County,95.8,445,409,226
2022-04-28T00:00:00.000,Montana,Blaine County,95.8,6638,5720,2495
2022-04-28T00:00:00.000,Montana,Deer Lodge County,95.8,5744,5310,3070
2022-04-28T00:00:00.000,Montana,Missoula County,95.8,84659,77444,40812
2022-04-28T00:00:00.000,Montana,Teton County,95.8,2940,2575,1265
2022-04-28T00:00:00.000,Montana,Phillips County,95.8,1985,1733,899
2022-04-28T00:00:00.000,Montana,Fergus County,95.8,5683,5192,2728
2022-04-28T00:00:00.000,Montana,Jefferson County,95.8,7008,6167,3206
2022-04-28T00:00:00.000,Montana,Lewis and Clark County,95.8,47178,41251,21382
2022-04-28T00:00:00.000,Montana,Roosevelt County,95.8,9557,8096,3424
2022-04-28T00:00:00.000,Montana,Silver Bow County,95.8,23316,21478,11106
2022-04-28T00:00:00.000,Montana,Yellowstone County,95.8,93705,83425,39115
2022-04-28T00:00:00.000,Montana,Hill County,95.8,12927,11632,4741
2022-04-28T00:00:00.000,Montana,Sanders County,95.8,5080,4671,2374
