date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-03-18T00:00:00.000,Nebraska,Brown County,90.6,1157,1088,566
2022-03-18T00:00:00.000,Nebraska,Perkins County,90.6,1189,1178,594
2022-03-18T00:00:00.000,Nebraska,Lancaster County,90.6,226459,211139,117854
2022-03-18T00:00:00.000,Nebraska,Nemaha County,90.6,3502,3478,1841
2022-03-18T00:00:00.000,Nebraska,Cedar County,90.6,,3413,1615
2022-03-18T00:00:00.000,Nebraska,Burt County,90.6,,3770,2212
2022-03-18T00:00:00.000,Nebraska,Harlan County,90.6,1369,1351,798
2022-03-18T00:00:00.000,Nebraska,Hamilton County,90.6,,4290,2595
2022-03-18T00:00:00.000,Nebraska,Nance County,90.6,,1008,753
2022-03-18T00:00:00.000,Nebraska,Deuel County,90.6,,619,320
2022-03-18T00:00:00.000,Nebraska,Keya Paha County,90.6,251,226,138
2022-03-18T00:00:00.000,Nebraska,Valley County,90.6,,1364,971
2022-03-18T00:00:00.000,Nebraska,Frontier County,90.6,,717,512
2022-03-18T00:00:00.000,Nebraska,Platte County,90.6,,15606,8750
2022-03-18T00:00:00.000,Nebraska,Stanton County,90.6,,1683,1008
2022-03-18T00:00:00.000,Nebraska,McPherson County,90.6,,71,42
2022-03-18T00:00:00.000,Nebraska,Sarpy County,90.6,133002,122026,55129
2022-03-18T00:00:00.000,Nebraska,Cheyenne County,90.6,4012,3802,1726
2022-03-18T00:00:00.000,Nebraska,Morrill County,90.6,1702,1642,729
2022-03-18T00:00:00.000,Nebraska,Webster County,90.6,,1338,831
2022-03-18T00:00:00.000,Nebraska,Dixon County,90.6,,2456,1221
2022-03-18T00:00:00.000,Nebraska,Washington County,90.6,12132,11587,6533
2022-03-18T00:00:00.000,Nebraska,Buffalo County,90.6,,20632,12526
2022-03-18T00:00:00.000,Nebraska,Hall County,90.6,30251,29875,14930
2022-03-18T00:00:00.000,Nebraska,Arthur County,90.6,,91,60
2022-03-18T00:00:00.000,Nebraska,Butler County,90.6,4128,4102,2226
