date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,New Mexico,Otero County,97,49192,41219,15490
2022-04-28T00:00:00.000,New Mexico,Chaves County,97,34717,29112,12670
2022-04-28T00:00:00.000,New Mexico,Rio Arriba County,97,37206,30738,15427
2022-04-28T00:00:00.000,New Mexico,Sandoval County,97,128797,105448,55565
2022-04-28T00:00:00.000,New Mexico,Guadalupe County,97,3323,3001,1657
2022-04-28T00:00:00.000,New Mexico,Torrance County,97,8666,7492,3850
2022-04-28T00:00:00.000,New Mexico,Grant County,97,21604,18734,10923
2022-04-28T00:00:00.000,New Mexico,Colfax County,97,8511,7420,4156
2022-04-28T00:00:00.000,New Mexico,San Miguel County,97,21255,18468,10820
2022-04-28T00:00:00.000,New Mexico,Sierra County,97,8383,7184,4001
2022-04-28T00:00:00.000,New Mexico,Cibola County,97,24307,18863,7892
2022-04-28T00:00:00.000,New Mexico,Union County,97,2099,1821,931
2022-04-28T00:00:00.000,New Mexico,Harding County,97,412,363,238
2022-04-28T00:00:00.000,New Mexico,Unknown County,97,72971,45107,15916
2022-04-28T00:00:00.000,New Mexico,Santa Fe County,97,150813,122353,69212
2022-04-28T00:00:00.000,New Mexico,Curry County,97,32137,26236,8076
2022-04-28T00:00:00.000,New Mexico,McKinley County,97,88636,63050,26273
2022-04-28T00:00:00.000,New Mexico,San Juan County,97,113696,92545,44332
2022-04-28T00:00:00.000,New Mexico,Valencia County,97,53868,45686,22985
2022-04-28T00:00:00.000,New Mexico,Lea County,97,39454,31584,11915
2022-04-28T00:00:00.000,New Mexico,Socorro County,97,13396,11440,5886
2022-04-28T00:00:00.000,New Mexico,Bernalillo County,97,575552,477046,253491
2022-04-28T00:00:00.000,New Mexico,Quay County,97,5015,4131,1844
2022-04-28T00:00:00.000,New Mexico,De Baca County,97,1016,884,389
2022-04-28T00:00:00.000,New Mexico,Mora County,97,3439,2930,1783
2022-04-28T00:00:00.000,New Mexico,Eddy County,97,32485,27555,11446
2022-04-28T00:00:00.000,New Mexico,Hidalgo County,97,2882,2469,1244
2022-04-28T00:00:00.000,New Mexico,Luna County,97,21566,17775,8064
2022-04-28T00:00:00.000,New Mexico,Dona Ana County,97,205152,164670,75710
2022-04-28T00:00:00.000,New Mexico,Los Alamos County,97,18621,16317,10276
2022-04-28T00:00:00.000,New Mexico,Lincoln County,97,14139,11512,6135
2022-04-28T00:00:00.000,New Mexico,Catron County,97,1915,1624,823
2022-04-28T00:00:00.000,New Mexico,Roosevelt County,97,8922,7144,3257
2022-04-28T00:00:00.000,New Mexico,Taos County,97,32113,27044,15003
