date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-03-18T00:00:00.000,New York,Lewis County,97.6,14413,13643,7803
2022-03-18T00:00:00.000,New York,New York County,97.6,1765899,1373450,603672
2022-03-18T00:00:00.000,New York,Schoharie County,97.6,18894,17554,9448
2022-03-18T00:00:00.000,New York,Cattaraugus County,97.6,47300,42571,21669
2022-03-18T00:00:00.000,New York,Herkimer County,97.6,39384,36016,19178
2022-03-18T00:00:00.000,New York,Orleans County,97.6,23565,22085,10684
2022-03-18T00:00:00.000,New York,Onondaga County,97.6,361825,336386,192044
2022-03-18T00:00:00.000,New York,Essex County,97.6,28254,26241,14660
2022-03-18T00:00:00.000,New York,Wyoming County,97.6,21650,20422,10861
2022-03-18T00:00:00.000,New York,Hamilton County,97.6,4032,3657,2024
2022-03-18T00:00:00.000,New York,Steuben County,97.6,64040,56723,27637
2022-03-18T00:00:00.000,New York,Putnam County,97.6,81650,71629,34994
2022-03-18T00:00:00.000,New York,Saratoga County,97.6,200711,181156,104440
2022-03-18T00:00:00.000,New York,Sullivan County,97.6,51170,45459,20369
2022-03-18T00:00:00.000,New York,Nassau County,97.6,1322087,1094493,462866
2022-03-18T00:00:00.000,New York,Ulster County,97.6,144094,128092,70379
2022-03-18T00:00:00.000,New York,Madison County,97.6,46019,43116,23709
2022-03-18T00:00:00.000,New York,Allegany County,97.6,21962,20277,10193
2022-03-18T00:00:00.000,New York,Franklin County,97.6,36888,34477,19751
2022-03-18T00:00:00.000,New York,Kings County,97.6,2185386,1823483,684586
2022-03-18T00:00:00.000,New York,Jefferson County,97.6,95121,80171,31446
2022-03-18T00:00:00.000,New York,Columbia County,97.6,49934,43857,22295
2022-03-18T00:00:00.000,New York,Suffolk County,97.6,1253824,1108231,503887
2022-03-18T00:00:00.000,New York,Cayuga County,97.6,47981,45087,25228
2022-03-18T00:00:00.000,New York,Livingston County,97.6,39718,37333,21430
2022-03-18T00:00:00.000,New York,Cortland County,97.6,29867,28061,15690
2022-03-18T00:00:00.000,New York,Greene County,97.6,32647,29291,15425
2022-03-18T00:00:00.000,New York,Oneida County,97.6,155613,142707,77730
2022-03-18T00:00:00.000,New York,Otsego County,97.6,39599,36487,21896
2022-03-18T00:00:00.000,New York,Rensselaer County,97.6,123294,111226,60784
2022-03-18T00:00:00.000,New York,Richmond County,97.6,393329,349867,142730
2022-03-18T00:00:00.000,New York,Albany County,97.6,250462,226349,128989
2022-03-18T00:00:00.000,New York,Schuyler County,97.6,12088,11011,5891
2022-03-18T00:00:00.000,New York,Washington County,97.6,45601,40445,21442
2022-03-18T00:00:00.000,New York,Erie County,97.6,689034,638161,359763
2022-03-18T00:00:00.000,New York,Monroe County,97.6,572173,533672,313859
2022-03-18T00:00:00.000,New York,Orange County,97.6,280524,247184,108087
2022-03-18T00:00:00.000,New York,Tioga County,97.6,33393,28872,14081
2022-03-18T00:00:00.000,New York,Delaware County,97.6,27457,25131,13071
2022-03-18T00:00:00.000,New York,Ontario County,97.6,79528,74556,43906
2022-03-18T00:00:00.000,New York,Rockland County,97.6,238775,206712,85094
2022-03-18T00:00:00.000,New York,Wayne County,97.6,59527,56065,32283
2022-03-18T00:00:00.000,New York,Broome County,97.6,130362,120563,66466
2022-03-18T00:00:00.000,New York,Niagara County,97.6,147711,138338,74251
2022-03-18T00:00:00.000,New York,Chautauqua County,97.6,83330,74644,39212
2022-03-18T00:00:00.000,New York,Chemung County,97.6,57053,49720,25358
2022-03-18T00:00:00.000,New York,Chenango County,97.6,30690,28668,15548
2022-03-18T00:00:00.000,New York,Queens County,97.6,2347867,1925874,711722
2022-03-18T00:00:00.000,New York,Tompkins County,97.6,91065,80648,44959
2022-03-18T00:00:00.000,New York,Fulton County,97.6,31291,28845,14945
2022-03-18T00:00:00.000,New York,Dutchess County,97.6,231024,204558,103917
2022-03-18T00:00:00.000,New York,Genesee County,97.6,36390,34171,17528
2022-03-18T00:00:00.000,New York,Montgomery County,97.6,35586,32691,17636
2022-03-18T00:00:00.000,New York,Oswego County,97.6,73399,69151,38848
2022-03-18T00:00:00.000,New York,Seneca County,97.6,19390,18154,10126
2022-03-18T00:00:00.000,New York,Bronx County,97.6,1227416,1048831,351110
2022-03-18T00:00:00.000,New York,Yates County,97.6,14194,13123,7741
2022-03-18T00:00:00.000,New York,Clinton County,97.6,62528,58084,32648
2022-03-18T00:00:00.000,New York,Unknown County,97.6,548557,359250,114180
2022-03-18T00:00:00.000,New York,Schenectady County,97.6,123790,112413,65176
2022-03-18T00:00:00.000,New York,Warren County,97.6,54057,49128,29002
2022-03-18T00:00:00.000,New York,St. Lawrence County,97.6,69302,65329,37170
2022-03-18T00:00:00.000,New York,Westchester County,97.6,940592,772223,345324
