date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,North Carolina,Davie County,96.9,32940,24605,7092
2022-04-28T00:00:00.000,North Carolina,Randolph County,96.9,83448,63960,16027
2022-04-28T00:00:00.000,North Carolina,Yancey County,96.9,11133,9340,4282
2022-04-28T00:00:00.000,North Carolina,Currituck County,96.9,22281,16626,4424
2022-04-28T00:00:00.000,North Carolina,Haywood County,96.9,47548,36183,12199
2022-04-28T00:00:00.000,North Carolina,Stokes County,96.9,28046,21419,5792
2022-04-28T00:00:00.000,North Carolina,Onslow County,96.9,153078,121119,12520
2022-04-28T00:00:00.000,North Carolina,Swain County,96.9,10751,8264,3047
2022-04-28T00:00:00.000,North Carolina,Richmond County,96.9,27097,21459,6765
2022-04-28T00:00:00.000,North Carolina,Sampson County,96.9,43078,32822,8996
2022-04-28T00:00:00.000,North Carolina,New Hanover County,96.9,212436,149920,39121
2022-04-28T00:00:00.000,North Carolina,Orange County,96.9,170349,118041,34552
2022-04-28T00:00:00.000,North Carolina,Caswell County,96.9,13672,11319,4620
2022-04-28T00:00:00.000,North Carolina,Cumberland County,96.9,275168,204853,29270
2022-04-28T00:00:00.000,North Carolina,Gates County,96.9,7456,6179,2164
2022-04-28T00:00:00.000,North Carolina,Hyde County,96.9,3641,3286,1648
2022-04-28T00:00:00.000,North Carolina,Harnett County,96.9,76983,57657,12755
2022-04-28T00:00:00.000,North Carolina,Rutherford County,96.9,36081,28171,9094
2022-04-28T00:00:00.000,North Carolina,Iredell County,96.9,134444,96442,21433
2022-04-28T00:00:00.000,North Carolina,Pasquotank County,96.9,29601,21766,5814
2022-04-28T00:00:00.000,North Carolina,Cleveland County,96.9,65627,49155,13175
2022-04-28T00:00:00.000,North Carolina,Nash County,96.9,72323,55461,15451
2022-04-28T00:00:00.000,North Carolina,Rockingham County,96.9,61804,46064,11650
2022-04-28T00:00:00.000,North Carolina,Yadkin County,96.9,24381,18755,4814
2022-04-28T00:00:00.000,North Carolina,Carteret County,96.9,62804,45104,9226
2022-04-28T00:00:00.000,North Carolina,Union County,96.9,185675,133985,29796
2022-04-28T00:00:00.000,North Carolina,Montgomery County,96.9,15105,11607,2912
2022-04-28T00:00:00.000,North Carolina,Bladen County,96.9,26314,20703,4288
2022-04-28T00:00:00.000,North Carolina,Franklin County,96.9,51705,36408,8850
2022-04-28T00:00:00.000,North Carolina,Durham County,96.9,325009,230471,69481
2022-04-28T00:00:00.000,North Carolina,Greene County,96.9,16314,13161,3614
2022-04-28T00:00:00.000,North Carolina,Halifax County,96.9,33624,27133,10132
2022-04-28T00:00:00.000,North Carolina,Watauga County,96.9,40668,31396,10821
2022-04-28T00:00:00.000,North Carolina,Graham County,96.9,5381,4225,1217
2022-04-28T00:00:00.000,North Carolina,Jones County,96.9,6727,5151,1697
2022-04-28T00:00:00.000,North Carolina,Pender County,96.9,44754,33171,8019
2022-04-28T00:00:00.000,North Carolina,Transylvania County,96.9,26710,19404,6285
2022-04-28T00:00:00.000,North Carolina,Catawba County,96.9,121817,88994,18434
2022-04-28T00:00:00.000,North Carolina,Rowan County,96.9,83391,63878,15478
2022-04-28T00:00:00.000,North Carolina,Lee County,96.9,49030,35279,8398
2022-04-28T00:00:00.000,North Carolina,Macon County,96.9,26285,21103,7279
