date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,North Dakota,Burke County,92.6,936,826,351
2022-04-28T00:00:00.000,North Dakota,Sargent County,92.6,2534,2281,1220
2022-04-28T00:00:00.000,North Dakota,Bowman County,92.6,1403,1161,623
2022-04-28T00:00:00.000,North Dakota,Stutsman County,92.6,12764,10946,5180
2022-04-28T00:00:00.000,North Dakota,Benson County,92.6,3925,3532,1237
2022-04-28T00:00:00.000,North Dakota,Bottineau County,92.6,3632,3138,1525
2022-04-28T00:00:00.000,North Dakota,Kidder County,92.6,1011,818,369
2022-04-28T00:00:00.000,North Dakota,Grand Forks County,92.6,48067,40609,16897
2022-04-28T00:00:00.000,North Dakota,LaMoure County,92.6,2201,1948,1089
2022-04-28T00:00:00.000,North Dakota,Towner County,92.6,1113,1028,536
2022-04-28T00:00:00.000,North Dakota,Hettinger County,92.6,1122,975,509
2022-04-28T00:00:00.000,North Dakota,Ramsey County,92.6,7323,6510,3138
2022-04-28T00:00:00.000,North Dakota,Rolette County,92.6,12340,9796,3266
2022-04-28T00:00:00.000,North Dakota,Eddy County,92.6,1246,1173,618
2022-04-28T00:00:00.000,North Dakota,Dunn County,92.6,1332,1084,416
2022-04-28T00:00:00.000,North Dakota,Burleigh County,92.6,56660,48165,20508
2022-04-28T00:00:00.000,North Dakota,McLean County,92.6,5223,4355,2034
2022-04-28T00:00:00.000,North Dakota,Cavalier County,92.6,2480,2257,1275
2022-04-28T00:00:00.000,North Dakota,Unknown County,92.6,41260,30972,8282
2022-04-28T00:00:00.000,North Dakota,Dickey County,92.6,2816,2569,1328
2022-04-28T00:00:00.000,North Dakota,Emmons County,92.6,1327,1103,470
2022-04-28T00:00:00.000,North Dakota,Grant County,92.6,621,526,300
2022-04-28T00:00:00.000,North Dakota,McKenzie County,92.6,4262,3309,1074
2022-04-28T00:00:00.000,North Dakota,Logan County,92.6,804,687,324
2022-04-28T00:00:00.000,North Dakota,Traill County,92.6,4928,4320,1859
2022-04-28T00:00:00.000,North Dakota,Billings County,92.6,240,195,65
2022-04-28T00:00:00.000,North Dakota,Ransom County,92.6,3506,3078,1648
2022-04-28T00:00:00.000,North Dakota,Pierce County,92.6,1989,1796,914
2022-04-28T00:00:00.000,North Dakota,Steele County,92.6,1028,884,427
2022-04-28T00:00:00.000,North Dakota,Griggs County,92.6,1142,1030,450
2022-04-28T00:00:00.000,North Dakota,McHenry County,92.6,2661,2392,1108
2022-04-28T00:00:00.000,North Dakota,Mercer County,92.6,3540,3149,1507
2022-04-28T00:00:00.000,North Dakota,Stark County,92.6,13665,11402,4633
2022-04-28T00:00:00.000,North Dakota,Renville County,92.6,1021,897,360
2022-04-28T00:00:00.000,North Dakota,Cass County,92.6,126153,109057,44552
2022-04-28T00:00:00.000,North Dakota,Mountrail County,92.6,6367,4446,1662
2022-04-28T00:00:00.000,North Dakota,McIntosh County,92.6,1272,1087,522
2022-04-28T00:00:00.000,North Dakota,Morton County,92.6,16419,14085,5917
2022-04-28T00:00:00.000,North Dakota,Richland County,92.6,9521,8251,3811
2022-04-28T00:00:00.000,North Dakota,Divide County,92.6,1043,928,447
2022-04-28T00:00:00.000,North Dakota,Oliver County,92.6,560,501,228
2022-04-28T00:00:00.000,North Dakota,Sioux County,92.6,3091,2572,706
2022-04-28T00:00:00.000,North Dakota,Nelson County,92.6,2196,2035,1188
2022-04-28T00:00:00.000,North Dakota,Ward County,92.6,39067,33674,10403
2022-04-28T00:00:00.000,North Dakota,Slope County,92.6,109,83,39
2022-04-28T00:00:00.000,North Dakota,Barnes County,92.6,6808,5948,2846
2022-04-28T00:00:00.000,North Dakota,Foster County,92.6,1914,1739,847
2022-04-28T00:00:00.000,North Dakota,Pembina County,92.6,4393,3779,1589
2022-04-28T00:00:00.000,North Dakota,Walsh County,92.6,7112,6162,2997
2022-04-28T00:00:00.000,North Dakota,Wells County,92.6,1865,1661,830
2022-04-28T00:00:00.000,North Dakota,Adams County,92.6,1244,1072,578
2022-04-28T00:00:00.000,North Dakota,Williams County,92.6,13701,11276,3789
2022-04-28T00:00:00.000,North Dakota,Golden Valley County,92.6,663,532,195
2022-04-28T00:00:00.000,North Dakota,Sheridan County,92.6,527,478,274
