date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Ohio,Brown County,98.5,19114,17834,8160
2022-04-28T00:00:00.000,Ohio,Coshocton County,98.5,15014,14208,7238
2022-04-28T00:00:00.000,Ohio,Delaware County,98.5,164007,157174,88821
2022-04-28T00:00:00.000,Ohio,Gallia County,98.5,15398,13990,6258
2022-04-28T00:00:00.000,Ohio,Knox County,98.5,28485,26858,13439
2022-04-28T00:00:00.000,Ohio,Stark County,98.5,214593,202919,107538
2022-04-28T00:00:00.000,Ohio,Greene County,98.5,115992,106518,48134
2022-04-28T00:00:00.000,Ohio,Clermont County,98.5,124765,117419,57301
2022-04-28T00:00:00.000,Ohio,Paulding County,98.5,8422,7895,3739
2022-04-28T00:00:00.000,Ohio,Franklin County,98.5,900464,848041,435316
2022-04-28T00:00:00.000,Ohio,Clark County,98.5,75801,71019,34480
2022-04-28T00:00:00.000,Ohio,Montgomery County,98.5,325092,300554,148769
2022-04-28T00:00:00.000,Ohio,Van Wert County,98.5,13338,12283,6265
2022-04-28T00:00:00.000,Ohio,Erie County,98.5,46488,44031,24566
2022-04-28T00:00:00.000,Ohio,Highland County,98.5,17697,16370,7431
2022-04-28T00:00:00.000,Ohio,Putnam County,98.5,17051,16497,8199
2022-04-28T00:00:00.000,Ohio,Clinton County,98.5,22231,20588,9267
2022-04-28T00:00:00.000,Ohio,Fulton County,98.5,23327,22127,11255
2022-04-28T00:00:00.000,Ohio,Hamilton County,98.5,558629,514144,261445
2022-04-28T00:00:00.000,Ohio,Meigs County,98.5,12202,10742,4445
2022-04-28T00:00:00.000,Ohio,Butler County,98.5,233320,217963,103293
2022-04-28T00:00:00.000,Ohio,Lorain County,98.5,208013,197348,109977
2022-04-28T00:00:00.000,Ohio,Mercer County,98.5,16633,15769,7958
2022-04-28T00:00:00.000,Ohio,Richland County,98.5,56229,53491,26320
2022-04-28T00:00:00.000,Ohio,Morrow County,98.5,15360,14711,7335
2022-04-28T00:00:00.000,Ohio,Williams County,98.5,17740,16469,8468
2022-04-28T00:00:00.000,Ohio,Unknown County,98.5,253138,99330,60876
2022-04-28T00:00:00.000,Ohio,Madison County,98.5,23882,22892,11261
2022-04-28T00:00:00.000,Ohio,Pike County,98.5,13354,12286,5370
2022-04-28T00:00:00.000,Ohio,Wyandot County,98.5,10703,10380,5475
2022-04-28T00:00:00.000,Ohio,Jackson County,98.5,16427,15340,7153
2022-04-28T00:00:00.000,Ohio,Perry County,98.5,15306,14789,7321
