date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-03-18T00:00:00.000,Oklahoma,Ottawa County,93.8,14716,12021,4401
2022-03-18T00:00:00.000,Oklahoma,Murray County,93.8,7286,6266,2604
2022-03-18T00:00:00.000,Oklahoma,Jackson County,93.8,15257,13116,4139
2022-03-18T00:00:00.000,Oklahoma,Washita County,93.8,5001,4248,1623
2022-03-18T00:00:00.000,Oklahoma,Mayes County,93.8,22054,17717,6490
2022-03-18T00:00:00.000,Oklahoma,Kay County,93.8,21910,18463,7763
2022-03-18T00:00:00.000,Oklahoma,Harmon County,93.8,1517,1295,541
2022-03-18T00:00:00.000,Oklahoma,Payne County,93.8,48517,39641,16810
2022-03-18T00:00:00.000,Oklahoma,Beaver County,93.8,1993,1637,573
2022-03-18T00:00:00.000,Oklahoma,Caddo County,93.8,21695,18750,7261
2022-03-18T00:00:00.000,Oklahoma,Cimarron County,93.8,850,697,193
2022-03-18T00:00:00.000,Oklahoma,Garvin County,93.8,14979,12769,4965
2022-03-18T00:00:00.000,Oklahoma,Blaine County,93.8,5035,4362,1717
2022-03-18T00:00:00.000,Oklahoma,Pottawatomie County,93.8,43813,34980,12293
2022-03-18T00:00:00.000,Oklahoma,Atoka County,93.8,5615,4919,1844
2022-03-18T00:00:00.000,Oklahoma,Cotton County,93.8,3340,2817,1023
2022-03-18T00:00:00.000,Oklahoma,Custer County,93.8,16457,14007,5331
2022-03-18T00:00:00.000,Oklahoma,Garfield County,93.8,35825,30436,10098
2022-03-18T00:00:00.000,Oklahoma,Cherokee County,93.8,32138,23109,9064
2022-03-18T00:00:00.000,Oklahoma,Johnston County,93.8,5589,4674,1691
2022-03-18T00:00:00.000,Oklahoma,Comanche County,93.8,89035,72653,19078
2022-03-18T00:00:00.000,Oklahoma,Logan County,93.8,20069,16693,6481
2022-03-18T00:00:00.000,Oklahoma,Woodward County,93.8,8767,7628,3046
2022-03-18T00:00:00.000,Oklahoma,Sequoyah County,93.8,21905,16553,5951
