date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Oregon,Harney County,97.8,3813,3403,1645
2022-04-28T00:00:00.000,Oregon,Polk County,97.8,58814,54632,28851
2022-04-28T00:00:00.000,Oregon,Douglas County,97.8,66170,58542,26155
2022-04-28T00:00:00.000,Oregon,Klamath County,97.8,38500,34595,15768
2022-04-28T00:00:00.000,Oregon,Sherman County,97.8,1152,1028,521
2022-04-28T00:00:00.000,Oregon,Linn County,97.8,78811,72079,36279
2022-04-28T00:00:00.000,Oregon,Baker County,97.8,14075,11325,3981
2022-04-28T00:00:00.000,Oregon,Curry County,97.8,14804,12780,6502
2022-04-28T00:00:00.000,Oregon,Jefferson County,97.8,17456,15641,7962
2022-04-28T00:00:00.000,Oregon,Lincoln County,97.8,39274,35538,21144
2022-04-28T00:00:00.000,Oregon,Jackson County,97.8,142435,128628,65033
2022-04-28T00:00:00.000,Oregon,Umatilla County,97.8,49451,43486,15435
2022-04-28T00:00:00.000,Oregon,Benton County,97.8,75747,69642,42245
2022-04-28T00:00:00.000,Oregon,Morrow County,97.8,7302,6481,2351
2022-04-28T00:00:00.000,Oregon,Unknown County,97.8,93103,66019,23122
2022-04-28T00:00:00.000,Oregon,Lane County,97.8,285447,258141,142395
2022-04-28T00:00:00.000,Oregon,Wallowa County,97.8,4749,4275,2369
2022-04-28T00:00:00.000,Oregon,Josephine County,97.8,48605,43838,22339
2022-04-28T00:00:00.000,Oregon,Multnomah County,97.8,736113,644115,360204
2022-04-28T00:00:00.000,Oregon,Yamhill County,97.8,74463,67864,35712
2022-04-28T00:00:00.000,Oregon,Deschutes County,97.8,150812,136607,77281
2022-04-28T00:00:00.000,Oregon,Clackamas County,97.8,313420,288223,162939
2022-04-28T00:00:00.000,Oregon,Lake County,97.8,3340,3105,1471
2022-04-28T00:00:00.000,Oregon,Clatsop County,97.8,30594,26783,13805
2022-04-28T00:00:00.000,Oregon,Washington County,97.8,503140,459208,258091
2022-04-28T00:00:00.000,Oregon,Wasco County,97.8,19390,17578,8832
2022-04-28T00:00:00.000,Oregon,Hood River County,97.8,22119,19898,10981
2022-04-28T00:00:00.000,Oregon,Tillamook County,97.8,19282,17469,9727
2022-04-28T00:00:00.000,Oregon,Grant County,97.8,3554,3263,1637
2022-04-28T00:00:00.000,Oregon,Union County,97.8,14618,13211,6271
2022-04-28T00:00:00.000,Oregon,Wheeler County,97.8,784,724,438
2022-04-28T00:00:00.000,Oregon,Crook County,97.8,13743,12455,6588
2022-04-28T00:00:00.000,Oregon,Marion County,97.8,242405,219415,105045
2022-04-28T00:00:00.000,Oregon,Columbia County,97.8,36247,31924,14956
2022-04-28T00:00:00.000,Oregon,Gilliam County,97.8,966,862,480
2022-04-28T00:00:00.000,Oregon,Coos County,97.8,40970,36962,18848
2022-04-28T00:00:00.000,Oregon,Malheur County,97.8,16847,14728,5568
