date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Pennsylvania,Carbon County,94.8,44755,38947,17479
2022-04-28T00:00:00.000,Pennsylvania,Unknown County,94.8,722951,457933,115383
2022-04-28T00:00:00.000,Pennsylvania,Schuylkill County,94.8,96293,85514,40889
2022-04-28T00:00:00.000,Pennsylvania,Adams County,94.8,65229,57306,27593
2022-04-28T00:00:00.000,Pennsylvania,Clarion County,94.8,19141,16879,7561
2022-04-28T00:00:00.000,Pennsylvania,Washington County,94.8,153939,132445,61963
2022-04-28T00:00:00.000,Pennsylvania,Bedford County,94.8,20827,18664,8849
2022-04-28T00:00:00.000,Pennsylvania,Cameron County,94.8,2718,2440,1204
2022-04-28T00:00:00.000,Pennsylvania,Lawrence County,94.8,53197,46323,20097
2022-04-28T00:00:00.000,Pennsylvania,Somerset County,94.8,40442,35595,17733
2022-04-28T00:00:00.000,Pennsylvania,Erie County,94.8,181700,160949,78819
2022-04-28T00:00:00.000,Pennsylvania,Tioga County,94.8,20717,18842,8729
2022-04-28T00:00:00.000,Pennsylvania,Bucks County,94.8,589759,457465,183671
2022-04-28T00:00:00.000,Pennsylvania,Clearfield County,94.8,44519,39583,18357
2022-04-28T00:00:00.000,Pennsylvania,Cumberland County,94.8,221429,177333,75195
2022-04-28T00:00:00.000,Pennsylvania,McKean County,94.8,24301,20115,7946
2022-04-28T00:00:00.000,Pennsylvania,Armstrong County,94.8,42542,38884,19534
2022-04-28T00:00:00.000,Pennsylvania,Lehigh County,94.8,311900,268978,125440
2022-04-28T00:00:00.000,Pennsylvania,Wyoming County,94.8,18910,16112,7711
2022-04-28T00:00:00.000,Pennsylvania,Indiana County,94.8,44181,38445,18744
2022-04-28T00:00:00.000,Pennsylvania,Franklin County,94.8,87490,76753,34815
2022-04-28T00:00:00.000,Pennsylvania,Bradford County,94.8,32119,25995,11761
2022-04-28T00:00:00.000,Pennsylvania,Greene County,94.8,21219,18316,8427
2022-04-28T00:00:00.000,Pennsylvania,Pike County,94.8,40579,32525,13034
2022-04-28T00:00:00.000,Pennsylvania,Fulton County,94.8,5907,5237,2324
2022-04-28T00:00:00.000,Pennsylvania,Butler County,94.8,136386,120810,59629
