date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,South Dakota,Corson County,96.7,2888,2263,567
2022-04-28T00:00:00.000,South Dakota,Deuel County,96.7,2316,2023,890
2022-04-28T00:00:00.000,South Dakota,Jackson County,96.7,2054,1697,506
2022-04-28T00:00:00.000,South Dakota,Brown County,96.7,26069,22119,9981
2022-04-28T00:00:00.000,South Dakota,Clay County,96.7,11579,9594,4622
2022-04-28T00:00:00.000,South Dakota,Codington County,96.7,18621,15411,7078
2022-04-28T00:00:00.000,South Dakota,Jerauld County,96.7,1207,1044,554
2022-04-28T00:00:00.000,South Dakota,Turner County,96.7,5277,4513,2100
2022-04-28T00:00:00.000,South Dakota,Clark County,96.7,2239,1894,724
2022-04-28T00:00:00.000,South Dakota,Sully County,96.7,760,619,268
2022-04-28T00:00:00.000,South Dakota,Todd County,96.7,8967,7154,3444
2022-04-28T00:00:00.000,South Dakota,Yankton County,96.7,17882,14761,7255
2022-04-28T00:00:00.000,South Dakota,Hand County,96.7,1751,1563,801
2022-04-28T00:00:00.000,South Dakota,Pennington County,96.7,84743,66311,24420
2022-04-28T00:00:00.000,South Dakota,McPherson County,96.7,1036,958,629
2022-04-28T00:00:00.000,South Dakota,Stanley County,96.7,2240,1840,801
2022-04-28T00:00:00.000,South Dakota,Hyde County,96.7,840,705,363
2022-04-28T00:00:00.000,South Dakota,Miner County,96.7,1436,1212,629
2022-04-28T00:00:00.000,South Dakota,Tripp County,96.7,2836,2440,1135
2022-04-28T00:00:00.000,South Dakota,Ziebach County,96.7,1104,938,369
2022-04-28T00:00:00.000,South Dakota,Day County,96.7,4219,3562,1754
2022-04-28T00:00:00.000,South Dakota,Custer County,96.7,5471,4551,1359
2022-04-28T00:00:00.000,South Dakota,Roberts County,96.7,9320,7768,2973
2022-04-28T00:00:00.000,South Dakota,Hutchinson County,96.7,4431,3940,2136
2022-04-28T00:00:00.000,South Dakota,Lake County,96.7,7688,6442,3031
2022-04-28T00:00:00.000,South Dakota,Potter County,96.7,1483,1313,696
2022-04-28T00:00:00.000,South Dakota,Butte County,96.7,4971,4185,1487
2022-04-28T00:00:00.000,South Dakota,Harding County,96.7,278,244,93
2022-04-28T00:00:00.000,South Dakota,Fall River County,96.7,4847,4185,1050
2022-04-28T00:00:00.000,South Dakota,Hanson County,96.7,1930,1502,593
2022-04-28T00:00:00.000,South Dakota,Walworth County,96.7,3127,2666,1195
2022-04-28T00:00:00.000,South Dakota,Grant County,96.7,4526,3475,1501
2022-04-28T00:00:00.000,South Dakota,Oglala Lakota County,96.7,13017,11261,3374
2022-04-28T00:00:00.000,South Dakota,Charles Mix County,96.7,6719,5095,2339
2022-04-28T00:00:00.000,South Dakota,Lyman County,96.7,3239,2481,918
2022-04-28T00:00:00.000,South Dakota,Buffalo County,96.7,1336,1208,359
2022-04-28T00:00:00.000,South Dakota,Mellette County,96.7,905,750,300
2022-04-28T00:00:00.000,South Dakota,Moody County,96.7,4222,3246,1394
2022-04-28T00:00:00.000,South Dakota,Minnehaha County,96.7,164727,129535,53608
2022-04-28T00:00:00.000,South Dakota,Beadle County,96.7,11741,9118,4158
2022-04-28T00:00:00.000,South Dakota,Spink County,96.7,3712,3330,1829
2022-04-28T00:00:00.000,South Dakota,Union County,96.7,10737,8253,2742
2022-04-28T00:00:00.000,South Dakota,Bon Homme County,96.7,4602,3994,1939
2022-04-28T00:00:00.000,South Dakota,Jones County,96.7,890,669,222
2022-04-28T00:00:00.000,South Dakota,Faulk County,96.7,1437,1266,627
2022-04-28T00:00:00.000,South Dakota,Lincoln County,96.7,46576,36227,15102
2022-04-28T00:00:00.000,South Dakota,Edmunds County,96.7,2089,1768,882
2022-04-28T00:00:00.000,South Dakota,Perkins County,96.7,1037,920,442
2022-04-28T00:00:00.000,South Dakota,Brookings County,96.7,21603,18275,8716
2022-04-28T00:00:00.000,South Dakota,Unknown County,96.7,25230,17965,10206
2022-04-28T00:00:00.000,South Dakota,Aurora County,96.7,1772,1513,713
2022-04-28T00:00:00.000,South Dakota,Sanborn County,96.7,1563,1301,677
2022-04-28T00:00:00.000,South Dakota,Bennett County,96.7,2413,1997,584
2022-04-28T00:00:00.000,South Dakota,Marshall County,96.7,2972,2589,1388
2022-04-28T00:00:00.000,South Dakota,Hughes County,96.7,15304,12614,5898
2022-04-28T00:00:00.000,South Dakota,Campbell County,96.7,768,646,287
2022-04-28T00:00:00.000,South Dakota,Hamlin County,96.7,3500,2893,1271
2022-04-28T00:00:00.000,South Dakota,Kingsbury County,96.7,4196,3356,1703
2022-04-28T00:00:00.000,South Dakota,Brule County,96.7,4204,2956,1021
2022-04-28T00:00:00.000,South Dakota,Gregory County,96.7,2477,2119,1032
2022-04-28T00:00:00.000,South Dakota,Meade County,96.7,18692,15460,3721
2022-04-28T00:00:00.000,South Dakota,McCook County,96.7,3915,3215,1461
2022-04-28T00:00:00.000,South Dakota,Davison County,96.7,15769,12220,5080
2022-04-28T00:00:00.000,South Dakota,Douglas County,96.7,1835,1521,688
2022-04-28T00:00:00.000,South Dakota,Haakon County,96.7,920,798,232
2022-04-28T00:00:00.000,South Dakota,Lawrence County,96.7,18579,14892,4093
2022-04-28T00:00:00.000,South Dakota,Dewey County,96.7,5261,4434,1810
