date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Tennessee,Anderson County,97.8,48213,43088,20849
2022-04-28T00:00:00.000,Tennessee,Claiborne County,97.8,17175,14801,5673
2022-04-28T00:00:00.000,Tennessee,Crockett County,97.8,7802,6940,2866
2022-04-28T00:00:00.000,Tennessee,Jackson County,97.8,4601,4114,1878
2022-04-28T00:00:00.000,Tennessee,McNairy County,97.8,14109,12209,4704
2022-04-28T00:00:00.000,Tennessee,Scott County,97.8,9006,8118,3177
2022-04-28T00:00:00.000,Tennessee,Wilson County,97.8,85630,77280,35138
2022-04-28T00:00:00.000,Tennessee,Benton County,97.8,7974,7178,3539
2022-04-28T00:00:00.000,Tennessee,Bedford County,97.8,24772,21432,7977
2022-04-28T00:00:00.000,Tennessee,Hamblen County,97.8,31449,27852,11821
2022-04-28T00:00:00.000,Tennessee,Montgomery County,97.8,146932,128241,35349
2022-04-28T00:00:00.000,Tennessee,Johnson County,97.8,7836,6630,3008
2022-04-28T00:00:00.000,Tennessee,Davidson County,97.8,512568,453139,212629
2022-04-28T00:00:00.000,Tennessee,Hawkins County,97.8,28258,25280,10554
2022-04-28T00:00:00.000,Tennessee,Macon County,97.8,9048,8096,3255
2022-04-28T00:00:00.000,Tennessee,Lake County,97.8,2777,2474,773
2022-04-28T00:00:00.000,Tennessee,Marion County,97.8,15292,13389,5961
2022-04-28T00:00:00.000,Tennessee,Hardin County,97.8,11930,10461,4359
2022-04-28T00:00:00.000,Tennessee,Maury County,97.8,69093,62167,26984
2022-04-28T00:00:00.000,Tennessee,Fentress County,97.8,7047,6300,2650
2022-04-28T00:00:00.000,Tennessee,Hardeman County,97.8,13273,11745,4532
2022-04-28T00:00:00.000,Tennessee,Pickett County,97.8,2511,2274,1113
2022-04-28T00:00:00.000,Tennessee,Washington County,97.8,86748,77419,35850
2022-04-28T00:00:00.000,Tennessee,Carroll County,97.8,15462,13518,5959
2022-04-28T00:00:00.000,Tennessee,Carter County,97.8,26001,22854,9853
2022-04-28T00:00:00.000,Tennessee,Wayne County,97.8,7605,6844,2993
2022-04-28T00:00:00.000,Tennessee,Cannon County,97.8,5422,4742,2018
2022-04-28T00:00:00.000,Tennessee,Clay County,97.8,2557,2279,1082
2022-04-28T00:00:00.000,Tennessee,Coffee County,97.8,29850,26189,11521
2022-04-28T00:00:00.000,Tennessee,Hickman County,97.8,11919,10717,4831
2022-04-28T00:00:00.000,Tennessee,Robertson County,97.8,42252,37698,15605
2022-04-28T00:00:00.000,Tennessee,Sevier County,97.8,56250,49513,20986
2022-04-28T00:00:00.000,Tennessee,Campbell County,97.8,19911,17521,7361
2022-04-28T00:00:00.000,Tennessee,Haywood County,97.8,10472,9078,3793
2022-04-28T00:00:00.000,Tennessee,Jefferson County,97.8,30395,27379,12476
2022-04-28T00:00:00.000,Tennessee,Gibson County,97.8,25001,22455,9679
2022-04-28T00:00:00.000,Tennessee,Meigs County,97.8,9445,8497,3929
2022-04-28T00:00:00.000,Tennessee,Lauderdale County,97.8,10951,9654,3644
2022-04-28T00:00:00.000,Tennessee,Morgan County,97.8,12390,11100,4524
2022-04-28T00:00:00.000,Tennessee,Smith County,97.8,7633,6690,2776
2022-04-28T00:00:00.000,Tennessee,Union County,97.8,7820,6990,3116
2022-04-28T00:00:00.000,Tennessee,Cumberland County,97.8,31678,28393,14757
2022-04-28T00:00:00.000,Tennessee,Fayette County,97.8,27230,23509,9972
2022-04-28T00:00:00.000,Tennessee,Knox County,97.8,314019,283428,137912
2022-04-28T00:00:00.000,Tennessee,Moore County,97.8,1617,1420,678
2022-04-28T00:00:00.000,Tennessee,Dyer County,97.8,17056,15014,5734
2022-04-28T00:00:00.000,Tennessee,Henderson County,97.8,13104,11649,5006
2022-04-28T00:00:00.000,Tennessee,Madison County,97.8,59182,53590,24418
2022-04-28T00:00:00.000,Tennessee,Polk County,97.8,7642,6975,3111
2022-04-28T00:00:00.000,Tennessee,Stewart County,97.8,6830,6106,2590
2022-04-28T00:00:00.000,Tennessee,Rutherford County,97.8,203050,180592,73250
2022-04-28T00:00:00.000,Tennessee,Shelby County,97.8,626625,521634,208752
2022-04-28T00:00:00.000,Tennessee,Bradley County,97.8,51038,45307,18960
2022-04-28T00:00:00.000,Tennessee,Hancock County,97.8,2390,2161,862
2022-04-28T00:00:00.000,Tennessee,Unknown County,97.8,116958,83221,34599
