date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-03-18T00:00:00.000,Texas,Archer County,99,5889,5114,1594
2022-03-18T00:00:00.000,Texas,Atascosa County,99,30886,26490,8687
2022-03-18T00:00:00.000,Texas,Bandera County,99,13924,11675,4261
2022-03-18T00:00:00.000,Texas,Baylor County,99,1598,1438,457
2022-03-18T00:00:00.000,Texas,Brooks County,99,5071,4382,1723
2022-03-18T00:00:00.000,Texas,DeWitt County,99,10147,9094,3483
2022-03-18T00:00:00.000,Texas,Grimes County,99,17329,15261,5889
2022-03-18T00:00:00.000,Texas,Hansford County,99,2556,2265,746
2022-03-18T00:00:00.000,Texas,Nolan County,99,6799,6165,2525
2022-03-18T00:00:00.000,Texas,Bastrop County,99,60986,50792,17885
2022-03-18T00:00:00.000,Texas,Panola County,99,10186,8799,3017
2022-03-18T00:00:00.000,Texas,Reeves County,99,20190,8985,2379
2022-03-18T00:00:00.000,Texas,Somervell County,99,4627,4132,1655
2022-03-18T00:00:00.000,Texas,Gonzales County,99,11478,10197,3484
2022-03-18T00:00:00.000,Texas,Morris County,99,6099,5278,2006
2022-03-18T00:00:00.000,Texas,Austin County,99,16458,14273,5243
2022-03-18T00:00:00.000,Texas,Briscoe County,99,750,688,463
2022-03-18T00:00:00.000,Texas,Goliad County,99,3727,3249,1325
2022-03-18T00:00:00.000,Texas,Midland County,99,88211,75691,22465
2022-03-18T00:00:00.000,Texas,Milam County,99,12641,11212,4445
2022-03-18T00:00:00.000,Texas,Val Verde County,99,42590,32463,8754
2022-03-18T00:00:00.000,Texas,Calhoun County,99,13800,12138,4600
2022-03-18T00:00:00.000,Texas,Garza County,99,3485,3269,652
2022-03-18T00:00:00.000,Texas,Lamb County,99,6478,5605,2198
2022-03-18T00:00:00.000,Texas,Montague County,99,8079,6932,2536
2022-03-18T00:00:00.000,Texas,Freestone County,99,8623,7613,2487
2022-03-18T00:00:00.000,Texas,Glasscock County,99,723,630,157
2022-03-18T00:00:00.000,Texas,Knox County,99,1608,1430,439
2022-03-18T00:00:00.000,Texas,Medina County,99,32797,28533,11163
2022-03-18T00:00:00.000,Texas,Sterling County,99,641,521,153
