date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Utah,Daggett County,97.6,831,635,220
2022-04-28T00:00:00.000,Utah,Beaver County,97.6,3775,3207,1303
2022-04-28T00:00:00.000,Utah,Davis County,97.6,258969,238079,107840
2022-04-28T00:00:00.000,Utah,Salt Lake County,97.6,906367,812133,404839
2022-04-28T00:00:00.000,Utah,Uintah County,97.6,18472,15485,5589
2022-04-28T00:00:00.000,Utah,Emery County,97.6,5072,4623,2098
2022-04-28T00:00:00.000,Utah,Washington County,97.6,103666,92640,41601
2022-04-28T00:00:00.000,Utah,Sanpete County,97.6,14662,12699,4802
2022-04-28T00:00:00.000,Utah,Weber County,97.6,176781,159731,68081
2022-04-28T00:00:00.000,Utah,Kane County,97.6,4518,3954,1903
2022-04-28T00:00:00.000,Utah,Wasatch County,97.6,22980,20717,9262
2022-04-28T00:00:00.000,Utah,Juab County,97.6,5195,4414,1664
2022-04-28T00:00:00.000,Utah,Summit County,97.6,44116,37248,19435
2022-04-28T00:00:00.000,Utah,Millard County,97.6,6912,5991,2240
2022-04-28T00:00:00.000,Utah,Sevier County,97.6,11004,9507,3716
2022-04-28T00:00:00.000,Utah,Morgan County,97.6,7546,6519,2589
2022-04-28T00:00:00.000,Utah,Unknown County,97.6,54552,49183,7692
2022-04-28T00:00:00.000,Utah,Iron County,97.6,28746,25181,9782
2022-04-28T00:00:00.000,Utah,Grand County,97.6,7643,6605,3166
2022-04-28T00:00:00.000,Utah,Tooele County,97.6,47731,42543,17445
2022-04-28T00:00:00.000,Utah,San Juan County,97.6,11416,9953,4474
2022-04-28T00:00:00.000,Utah,Box Elder County,97.6,32774,29166,12037
2022-04-28T00:00:00.000,Utah,Rich County,97.6,1623,1295,554
2022-04-28T00:00:00.000,Utah,Garfield County,97.6,3221,2889,1263
2022-04-28T00:00:00.000,Utah,Utah County,97.6,418951,366832,138554
2022-04-28T00:00:00.000,Utah,Cache County,97.6,86354,74856,30499
2022-04-28T00:00:00.000,Utah,Wayne County,97.6,1644,1471,644
2022-04-28T00:00:00.000,Utah,Duchesne County,97.6,10605,8965,3283
2022-04-28T00:00:00.000,Utah,Piute County,97.6,676,567,237
2022-04-28T00:00:00.000,Utah,Carbon County,97.6,11457,10188,4757
