date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Virginia,Henrico County,79.1,204091,181893,44024
2022-04-28T00:00:00.000,Virginia,Pulaski County,79.1,16853,14891,3924
2022-04-28T00:00:00.000,Virginia,Bath County,79.1,2046,1796,398
2022-04-28T00:00:00.000,Virginia,Botetourt County,79.1,19117,16562,4369
2022-04-28T00:00:00.000,Virginia,Highland County,79.1,1467,1328,790
2022-04-28T00:00:00.000,Virginia,Augusta County,79.1,41110,36937,11153
2022-04-28T00:00:00.000,Virginia,Prince William County,79.1,403224,342769,136745
2022-04-28T00:00:00.000,Virginia,Bland County,79.1,2849,2446,299
2022-04-28T00:00:00.000,Virginia,Middlesex County,79.1,7436,6689,3592
2022-04-28T00:00:00.000,Virginia,Campbell County,79.1,24596,21923,5308
2022-04-28T00:00:00.000,Virginia,Rappahannock County,79.1,4677,3868,1162
2022-04-28T00:00:00.000,Virginia,Smyth County,79.1,16855,14541,4776
2022-04-28T00:00:00.000,Virginia,Appomattox County,79.1,5881,5149,165
2022-04-28T00:00:00.000,Virginia,Loudoun County,79.1,360243,301712,128901
2022-04-28T00:00:00.000,Virginia,Unknown County,79.1,1517524,1305764,1443816
2022-04-28T00:00:00.000,Virginia,Northumberland County,79.1,7232,6540,1777
2022-04-28T00:00:00.000,Virginia,Tazewell County,79.1,20840,17726,6471
2022-04-28T00:00:00.000,Virginia,Fairfax County,79.1,1072117,881959,373765
2022-04-28T00:00:00.000,Virginia,Amherst County,79.1,16563,14738,5808
2022-04-28T00:00:00.000,Virginia,Frederick County,79.1,51684,42995,9645
2022-04-28T00:00:00.000,Virginia,Louisa County,79.1,17534,15528,1322
2022-04-28T00:00:00.000,Virginia,Petersburg city,79.1,13116,10965,376
2022-04-28T00:00:00.000,Virginia,Lee County,79.1,13681,11838,4266
2022-04-28T00:00:00.000,Virginia,Manassas Park city,79.1,9192,7711,78
2022-04-28T00:00:00.000,Virginia,Greene County,79.1,10019,9061,466
2022-04-28T00:00:00.000,Virginia,Danville city,79.1,15947,13534,55
2022-04-28T00:00:00.000,Virginia,Richmond city,79.1,111515,97975,24163
2022-04-28T00:00:00.000,Virginia,Staunton city,79.1,12899,11647,358
2022-04-28T00:00:00.000,Virginia,Dickenson County,79.1,7840,6714,2423
2022-04-28T00:00:00.000,Virginia,Franklin County,79.1,27746,24454,8464
2022-04-28T00:00:00.000,Virginia,Newport News city,79.1,107708,93427,26369
2022-04-28T00:00:00.000,Virginia,Accomack County,79.1,26692,23722,10461
2022-04-28T00:00:00.000,Virginia,Richmond County,79.1,4118,3710,573
2022-04-28T00:00:00.000,Virginia,Roanoke County,79.1,53206,46336,4273
2022-04-28T00:00:00.000,Virginia,Sussex County,79.1,4567,3940,837
2022-04-28T00:00:00.000,Virginia,Scott County,79.1,14378,12187,3546
2022-04-28T00:00:00.000,Virginia,Washington County,79.1,36022,30952,11856
2022-04-28T00:00:00.000,Virginia,King and Queen County,79.1,3992,3595,1170
2022-04-28T00:00:00.000,Virginia,Prince George County,79.1,23293,19389,151
2022-04-28T00:00:00.000,Virginia,Williamsburg city,79.1,6734,5945,303
2022-04-28T00:00:00.000,Virginia,Mathews County,79.1,5990,5446,2732
2022-04-28T00:00:00.000,Virginia,Galax city,79.1,2641,2372,19
2022-04-28T00:00:00.000,Virginia,Chesterfield County,79.1,229444,200021,62044
2022-04-28T00:00:00.000,Virginia,Goochland County,79.1,17213,15667,6396
2022-04-28T00:00:00.000,Virginia,Norton city,79.1,1590,1243,13
2022-04-28T00:00:00.000,Virginia,Clarke County,79.1,11213,9391,4173
2022-04-28T00:00:00.000,Virginia,Craig County,79.1,1948,1692,135
2022-04-28T00:00:00.000,Virginia,Charlotte County,79.1,5180,4564,681
2022-04-28T00:00:00.000,Virginia,Buchanan County,79.1,11279,10079,3721
2022-04-28T00:00:00.000,Virginia,Orange County,79.1,18541,16151,1943
2022-04-28T00:00:00.000,Virginia,Fauquier County,79.1,54799,45984,14854
2022-04-28T00:00:00.000,Virginia,York County,79.1,53215,46097,17686
2022-04-28T00:00:00.000,Virginia,Bristol city,79.1,13483,11531,4452
2022-04-28T00:00:00.000,Virginia,Portsmouth city,79.1,54469,47368,12843
2022-04-28T00:00:00.000,Virginia,Roanoke city,79.1,48014,40727,4330
2022-04-28T00:00:00.000,Virginia,King William County,79.1,9769,8902,3286
2022-04-28T00:00:00.000,Virginia,Harrisonburg city,79.1,22613,20106,413
2022-04-28T00:00:00.000,Virginia,Amelia County,79.1,5171,4477,61
2022-04-28T00:00:00.000,Virginia,Bedford County,79.1,40505,35244,9685
2022-04-28T00:00:00.000,Virginia,Greensville County,79.1,4802,4116,859
2022-04-28T00:00:00.000,Virginia,Lynchburg city,79.1,29253,25141,316
2022-04-28T00:00:00.000,Virginia,Albemarle County,79.1,81518,70953,20130
2022-04-28T00:00:00.000,Virginia,Grayson County,79.1,7335,6369,2006
2022-04-28T00:00:00.000,Virginia,Patrick County,79.1,8047,7016,2669
2022-04-28T00:00:00.000,Virginia,Stafford County,79.1,109698,89881,28068
2022-04-28T00:00:00.000,Virginia,Warren County,79.1,18335,14819,1287
2022-04-28T00:00:00.000,Virginia,Westmoreland County,79.1,9136,8182,1415
2022-04-28T00:00:00.000,Virginia,Wythe County,79.1,13351,11263,3949
2022-04-28T00:00:00.000,Virginia,Southampton County,79.1,7973,6546,718
2022-04-28T00:00:00.000,Virginia,Nottoway County,79.1,7248,6555,1714
2022-04-28T00:00:00.000,Virginia,Shenandoah County,79.1,24627,21537,8498
2022-04-28T00:00:00.000,Virginia,Poquoson city,79.1,6058,5358,11
2022-04-28T00:00:00.000,Virginia,Radford city,79.1,7290,6369,294
2022-04-28T00:00:00.000,Virginia,Floyd County,79.1,6740,5966,1022
2022-04-28T00:00:00.000,Virginia,Rockingham County,79.1,39182,35359,7665
2022-04-28T00:00:00.000,Virginia,Waynesboro city,79.1,11050,9751,488
2022-04-28T00:00:00.000,Virginia,Cumberland County,79.1,4237,3611,351
2022-04-28T00:00:00.000,Virginia,Halifax County,79.1,16851,14721,3689
2022-04-28T00:00:00.000,Virginia,Pittsylvania County,79.1,28678,25205,7260
2022-04-28T00:00:00.000,Virginia,Winchester city,79.1,14690,12021,519
2022-04-28T00:00:00.000,Virginia,Northampton County,79.1,9126,8344,4100
2022-04-28T00:00:00.000,Virginia,Dinwiddie County,79.1,15548,13625,3776
2022-04-28T00:00:00.000,Virginia,Suffolk city,79.1,56898,49339,15526
2022-04-28T00:00:00.000,Virginia,Charles City County,79.1,6860,5699,149
2022-04-28T00:00:00.000,Virginia,Culpeper County,79.1,30018,25414,4353
2022-04-28T00:00:00.000,Virginia,Rockbridge County,79.1,11376,10407,2125
2022-04-28T00:00:00.000,Virginia,Surry County,79.1,3969,3565,1394
2022-04-28T00:00:00.000,Virginia,Wise County,79.1,22302,17830,5659
2022-04-28T00:00:00.000,Virginia,Alexandria city,79.1,124868,101073,30593
2022-04-28T00:00:00.000,Virginia,Covington city,79.1,2266,1877,8
2022-04-28T00:00:00.000,Virginia,King George County,79.1,13181,11164,667
2022-04-28T00:00:00.000,Virginia,Hopewell city,79.1,8612,7081,71
2022-04-28T00:00:00.000,Virginia,Virginia Beach city,79.1,327728,282607,94594
2022-04-28T00:00:00.000,Virginia,Brunswick County,79.1,9775,8493,3111
2022-04-28T00:00:00.000,Virginia,Montgomery County,79.1,53770,45695,18541
2022-04-28T00:00:00.000,Virginia,Russell County,79.1,14252,12516,4381
2022-04-28T00:00:00.000,Virginia,Martinsville city,79.1,5762,4932,34
2022-04-28T00:00:00.000,Virginia,Buckingham County,79.1,7784,6728,1224
2022-04-28T00:00:00.000,Virginia,Caroline County,79.1,15107,13010,1699
2022-04-28T00:00:00.000,Virginia,Arlington County,79.1,209552,169708,45901
2022-04-28T00:00:00.000,Virginia,Spotsylvania County,79.1,71957,60506,7330
2022-04-28T00:00:00.000,Virginia,Fluvanna County,79.1,19288,17063,7938
2022-04-28T00:00:00.000,Virginia,Norfolk city,79.1,197531,172729,48019
2022-04-28T00:00:00.000,Virginia,Prince Edward County,79.1,8076,7002,420
2022-04-28T00:00:00.000,Virginia,Chesapeake city,79.1,152899,129780,15606
2022-04-28T00:00:00.000,Virginia,Madison County,79.1,8292,7338,3421
2022-04-28T00:00:00.000,Virginia,Page County,79.1,9914,9076,1943
2022-04-28T00:00:00.000,Virginia,Fredericksburg city,79.1,13713,11631,453
2022-04-28T00:00:00.000,Virginia,Franklin city,79.1,3669,3067,16
2022-04-28T00:00:00.000,Virginia,Alleghany County,79.1,7113,5865,380
2022-04-28T00:00:00.000,Virginia,Lunenburg County,79.1,6658,6096,2800
2022-04-28T00:00:00.000,Virginia,Charlottesville city,79.1,27769,23912,2577
2022-04-28T00:00:00.000,Virginia,Carroll County,79.1,11401,9831,1796
2022-04-28T00:00:00.000,Virginia,New Kent County,79.1,13308,11953,3462
2022-04-28T00:00:00.000,Virginia,James City County,79.1,48461,42897,7326
2022-04-28T00:00:00.000,Virginia,Mecklenburg County,79.1,15311,12950,1925
2022-04-28T00:00:00.000,Virginia,Emporia city,79.1,2142,1766,28
2022-04-28T00:00:00.000,Virginia,Fairfax city,79.1,19647,16272,888
2022-04-28T00:00:00.000,Virginia,Essex County,79.1,5530,5042,803
2022-04-28T00:00:00.000,Virginia,Lancaster County,79.1,7076,6383,2340
2022-04-28T00:00:00.000,Virginia,Giles County,79.1,8510,7550,2467
2022-04-28T00:00:00.000,Virginia,Gloucester County,79.1,26352,23561,11498
2022-04-28T00:00:00.000,Virginia,Henry County,79.1,22730,19837,4250
2022-04-28T00:00:00.000,Virginia,Manassas city,79.1,23958,19804,594
2022-04-28T00:00:00.000,Virginia,Falls Church city,79.1,9702,8135,358
2022-04-28T00:00:00.000,Virginia,Isle of Wight County,79.1,22592,19310,3558
2022-04-28T00:00:00.000,Virginia,Powhatan County,79.1,13012,11465,121
2022-04-28T00:00:00.000,Virginia,Hampton city,79.1,95942,83017,20846
2022-04-28T00:00:00.000,Virginia,Hanover County,79.1,70054,63462,20254
2022-04-28T00:00:00.000,Virginia,Buena Vista city,79.1,2678,2399,7
2022-04-28T00:00:00.000,Virginia,Colonial Heights city,79.1,7156,6273,74
2022-04-28T00:00:00.000,Virginia,Lexington city,79.1,3253,2931,47
2022-04-28T00:00:00.000,Virginia,Salem city,79.1,12978,11811,16
2022-04-28T00:00:00.000,Virginia,Nelson County,79.1,9472,8408,2850
