date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,Washington,Cowlitz County,96,71447,65293,31747
2022-04-28T00:00:00.000,Washington,Asotin County,96,10853,9401,4516
2022-04-28T00:00:00.000,Washington,Skamania County,96,5104,4681,2681
2022-04-28T00:00:00.000,Washington,Garfield County,96,1139,872,598
2022-04-28T00:00:00.000,Washington,Spokane County,96,356213,321372,152733
2022-04-28T00:00:00.000,Washington,Benton County,96,127334,115960,54573
2022-04-28T00:00:00.000,Washington,Wahkiakum County,96,2368,2201,1091
2022-04-28T00:00:00.000,Washington,King County,96,2003441,1826619,1101975
2022-04-28T00:00:00.000,Washington,Yakima County,96,176031,157047,64839
2022-04-28T00:00:00.000,Washington,Okanogan County,96,31043,28580,13205
2022-04-28T00:00:00.000,Washington,Grant County,96,60835,56023,21947
2022-04-28T00:00:00.000,Washington,Pierce County,96,657321,594796,268936
2022-04-28T00:00:00.000,Washington,Lewis County,96,46040,41546,18496
2022-04-28T00:00:00.000,Washington,Pacific County,96,15051,13395,6937
2022-04-28T00:00:00.000,Washington,Clark County,96,353024,316636,164206
2022-04-28T00:00:00.000,Washington,Jefferson County,96,26754,24747,17406
2022-04-28T00:00:00.000,Washington,Klickitat County,96,11727,10671,5362
2022-04-28T00:00:00.000,Washington,Stevens County,96,20132,17971,9174
2022-04-28T00:00:00.000,Washington,Walla Walla County,96,42919,38664,18939
2022-04-28T00:00:00.000,Washington,Whitman County,96,28661,23466,11591
2022-04-28T00:00:00.000,Washington,Ferry County,96,4719,4305,2153
2022-04-28T00:00:00.000,Washington,Kittitas County,96,29156,25886,12828
2022-04-28T00:00:00.000,Washington,Snohomish County,96,630607,582155,321196
2022-04-28T00:00:00.000,Washington,Douglas County,96,29058,26848,12059
2022-04-28T00:00:00.000,Washington,Unknown County,96,303908,219972,46496
2022-04-28T00:00:00.000,Washington,Grays Harbor County,96,50084,45921,22366
2022-04-28T00:00:00.000,Washington,Columbia County,96,2070,1842,975
2022-04-28T00:00:00.000,Washington,Franklin County,96,55939,50459,19569
2022-04-28T00:00:00.000,Washington,Thurston County,96,224223,201668,104914
2022-04-28T00:00:00.000,Washington,Kitsap County,96,214058,190354,97131
2022-04-28T00:00:00.000,Washington,Lincoln County,96,6801,6344,3094
2022-04-28T00:00:00.000,Washington,Mason County,96,45464,40869,20307
2022-04-28T00:00:00.000,Washington,Adams County,96,13294,12050,4454
2022-04-28T00:00:00.000,Washington,Clallam County,96,57555,52970,33230
2022-04-28T00:00:00.000,Washington,Island County,96,73495,65122,31016
2022-04-28T00:00:00.000,Washington,San Juan County,96,15900,14370,9561
2022-04-28T00:00:00.000,Washington,Whatcom County,96,182705,164874,90968
2022-04-28T00:00:00.000,Washington,Chelan County,96,59604,54526,27070
2022-04-28T00:00:00.000,Washington,Pend Oreille County,96,6418,5609,2810
2022-04-28T00:00:00.000,Washington,Skagit County,96,95537,86996,47469
