date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-04-28T00:00:00.000,West Virginia,Fayette County,97.2,26680,23683,10302
2022-04-28T00:00:00.000,West Virginia,Jackson County,97.2,16388,14947,7412
2022-04-28T00:00:00.000,West Virginia,Tucker County,97.2,4499,4156,2041
2022-04-28T00:00:00.000,West Virginia,Braxton County,97.2,6880,6276,3029
2022-04-28T00:00:00.000,West Virginia,Pocahontas County,97.2,4904,4351,2282
2022-04-28T00:00:00.000,West Virginia,Wirt County,97.2,3142,2821,1097
2022-04-28T00:00:00.000,West Virginia,Mineral County,97.2,16100,13787,5612
2022-04-28T00:00:00.000,West Virginia,Summers County,97.2,8646,7959,3932
2022-04-28T00:00:00.000,West Virginia,Calhoun County,97.2,2863,2465,1014
2022-04-28T00:00:00.000,West Virginia,Wayne County,97.2,24741,21346,8342
2022-04-28T00:00:00.000,West Virginia,Wetzel County,97.2,9416,8620,4266
2022-04-28T00:00:00.000,West Virginia,Mercer County,97.2,37426,31535,13426
2022-04-28T00:00:00.000,West Virginia,Morgan County,97.2,8111,7240,2715
2022-04-28T00:00:00.000,West Virginia,Greenbrier County,97.2,21396,19073,9253
2022-04-28T00:00:00.000,West Virginia,Hampshire County,97.2,12295,10704,4355
2022-04-28T00:00:00.000,West Virginia,Monroe County,97.2,7317,6473,2873
2022-04-28T00:00:00.000,West Virginia,Preston County,97.2,20857,18711,8430
2022-04-28T00:00:00.000,West Virginia,Webster County,97.2,4240,3869,1849
2022-04-28T00:00:00.000,West Virginia,Marion County,97.2,35393,31997,15755
2022-04-28T00:00:00.000,West Virginia,Doddridge County,97.2,5578,5047,2499
2022-04-28T00:00:00.000,West Virginia,Pleasants County,97.2,4409,3905,1714
2022-04-28T00:00:00.000,West Virginia,Roane County,97.2,7421,6590,3042
2022-04-28T00:00:00.000,West Virginia,Barbour County,97.2,8953,8157,3900
2022-04-28T00:00:00.000,West Virginia,Hardy County,97.2,8432,7652,3383
2022-04-28T00:00:00.000,West Virginia,Pendleton County,97.2,4489,4095,2078
2022-04-28T00:00:00.000,West Virginia,Marshall County,97.2,14934,13728,6643
2022-04-28T00:00:00.000,West Virginia,Randolph County,97.2,17341,15663,7488
2022-04-28T00:00:00.000,West Virginia,Cabell County,97.2,63802,55590,26745
2022-04-28T00:00:00.000,West Virginia,Ohio County,97.2,30536,27525,13647
2022-04-28T00:00:00.000,West Virginia,Unknown County,97.2,30968,29089,16510
2022-04-28T00:00:00.000,West Virginia,Brooke County,97.2,12423,11042,4935
2022-04-28T00:00:00.000,West Virginia,Jefferson County,97.2,43306,36273,15366
2022-04-28T00:00:00.000,West Virginia,Taylor County,97.2,8524,7915,3845
2022-04-28T00:00:00.000,West Virginia,Logan County,97.2,20425,18046,6842
2022-04-28T00:00:00.000,West Virginia,Tyler County,97.2,4000,3622,1708
2022-04-28T00:00:00.000,West Virginia,Mingo County,97.2,11498,9480,3294
2022-04-28T00:00:00.000,West Virginia,Clay County,97.2,5246,4779,2359
2022-04-28T00:00:00.000,West Virginia,Lincoln County,97.2,11514,10360,4639
2022-04-28T00:00:00.000,West Virginia,McDowell County,97.2,10549,9164,3121
2022-04-28T00:00:00.000,West Virginia,Lewis County,97.2,10051,9195,4382
2022-04-28T00:00:00.000,West Virginia,Putnam County,97.2,36716,32886,15950
2022-04-28T00:00:00.000,West Virginia,Mason County,97.2,15285,13189,5527
2022-04-28T00:00:00.000,West Virginia,Kanawha County,97.2,130862,116758,60168
2022-04-28T00:00:00.000,West Virginia,Raleigh County,97.2,44308,39606,16611
2022-04-28T00:00:00.000,West Virginia,Upshur County,97.2,13337,12160,5827
2022-04-28T00:00:00.000,West Virginia,Hancock County,97.2,21675,19163,8652
2022-04-28T00:00:00.000,West Virginia,Ritchie County,97.2,5256,4719,2037
2022-04-28T00:00:00.000,West Virginia,Boone County,97.2,11453,10234,4363
2022-04-28T00:00:00.000,West Virginia,Grant County,97.2,5662,5197,2356
2022-04-28T00:00:00.000,West Virginia,Wyoming County,97.2,11928,10702,4166
2022-04-28T00:00:00.000,West Virginia,Harrison County,97.2,38591,35195,16734
2022-04-28T00:00:00.000,West Virginia,Monongalia County,97.2,69115,62060,29875
2022-04-28T00:00:00.000,West Virginia,Gilmer County,97.2,5108,4741,2168
2022-04-28T00:00:00.000,West Virginia,Wood County,97.2,56643,49171,19531
2022-04-28T00:00:00.000,West Virginia,Berkeley County,97.2,77980,65511,24151
2022-04-28T00:00:00.000,West Virginia,Nicholas County,97.2,14339,12925,6628
