date,recip_state,recip_county,completeness_pct,administered_dose1_recip,series_complete_yes,booster_doses
2022-03-18T00:00:00.000,Wisconsin,Jackson County,96.9,11023,10262,5943
2022-03-18T00:00:00.000,Wisconsin,Lincoln County,96.9,16112,15210,9013
2022-03-18T00:00:00.000,Wisconsin,Ozaukee County,96.9,69174,63646,37229
2022-03-18T00:00:00.000,Wisconsin,Richland County,96.9,10752,10098,6097
2022-03-18T00:00:00.000,Wisconsin,Calumet County,96.9,29683,28047,16329
2022-03-18T00:00:00.000,Wisconsin,Polk County,96.9,24491,22134,12363
2022-03-18T00:00:00.000,Wisconsin,Price County,96.9,8754,8266,4682
2022-03-18T00:00:00.000,Wisconsin,Winnebago County,96.9,113170,104647,60131
2022-03-18T00:00:00.000,Wisconsin,Pierce County,96.9,21088,18749,9285
2022-03-18T00:00:00.000,Wisconsin,Clark County,96.9,13819,13009,6730
2022-03-18T00:00:00.000,Wisconsin,Trempealeau County,96.9,20774,19487,10513
2022-03-18T00:00:00.000,Wisconsin,Fond du Lac County,96.9,62347,57196,31125
2022-03-18T00:00:00.000,Wisconsin,Monroe County,96.9,27316,24897,12670
2022-03-18T00:00:00.000,Wisconsin,Bayfield County,96.9,13670,12243,7250
2022-03-18T00:00:00.000,Wisconsin,Lafayette County,96.9,10787,10000,5516
2022-03-18T00:00:00.000,Wisconsin,Barron County,96.9,25769,24064,13773
2022-03-18T00:00:00.000,Wisconsin,Chippewa County,96.9,38842,36595,20639
2022-03-18T00:00:00.000,Wisconsin,Waukesha County,96.9,306118,281390,158621
2022-03-18T00:00:00.000,Wisconsin,Dunn County,96.9,23618,22198,12645
2022-03-18T00:00:00.000,Wisconsin,Ashland County,96.9,12466,11057,5924
2022-03-18T00:00:00.000,Wisconsin,Rusk County,96.9,6232,5819,3262
2022-03-18T00:00:00.000,Wisconsin,Crawford County,96.9,9978,9361,5416
2022-03-18T00:00:00.000,Wisconsin,Manitowoc County,96.9,51036,47626,26753
2022-03-18T00:00:00.000,Wisconsin,Douglas County,96.9,24243,18829,8651
2022-03-18T00:00:00.000,Wisconsin,Green Lake County,96.9,11229,10508,6317
2022-03-18T00:00:00.000,Wisconsin,Forest County,96.9,6069,5392,2711
2022-03-18T00:00:00.000,Wisconsin,Grant County,96.9,30603,28098,15123
2022-03-18T00:00:00.000,Wisconsin,Wood County,96.9,48872,44743,24513
2022-03-18T00:00:00.000,Wisconsin,Vernon County,96.9,17819,16926,10408
2022-03-18T00:00:00.000,Wisconsin,Unknown County,96.9,160965,118827,54873
2022-03-18T00:00:00.000,Wisconsin,Juneau County,96.9,15391,14198,7481
2022-03-18T00:00:00.000,Wisconsin,Marquette County,96.9,8731,8266,4900
2022-03-18T00:00:00.000,Wisconsin,Waushara County,96.9,11637,10905,6451
2022-03-18T00:00:00.000,Wisconsin,Brown County,96.9,183108,170986,95512
2022-03-18T00:00:00.000,Wisconsin,Shawano County,96.9,23247,21802,11609
2022-03-18T00:00:00.000,Wisconsin,Kewaunee County,96.9,11164,10608,6414
2022-03-18T00:00:00.000,Wisconsin,Walworth County,96.9,61734,55767,29154
2022-03-18T00:00:00.000,Wisconsin,Menominee County,96.9,3803,3622,1572
2022-03-18T00:00:00.000,Wisconsin,St. Croix County,96.9,52016,45222,22026
2022-03-18T00:00:00.000,Wisconsin,Portage County,96.9,48472,43835,23786
2022-03-18T00:00:00.000,Wisconsin,Taylor County,96.9,7559,7187,3901
2022-03-18T00:00:00.000,Wisconsin,Iowa County,96.9,17250,16233,9983
2022-03-18T00:00:00.000,Wisconsin,Marathon County,96.9,88062,81176,42904
2022-03-18T00:00:00.000,Wisconsin,Outagamie County,96.9,129278,120001,67226
2022-03-18T00:00:00.000,Wisconsin,Racine County,96.9,129433,118393,61599
2022-03-18T00:00:00.000,Wisconsin,Green County,96.9,24749,23607,14683
2022-03-18T00:00:00.000,Wisconsin,Door County,96.9,23284,21552,13725
2022-03-18T00:00:00.000,Wisconsin,Sawyer County,96.9,11501,9873,5541
2022-03-18T00:00:00.000,Wisconsin,Vilas County,96.9,16035,14516,7921
2022-03-18T00:00:00.000,Wisconsin,Rock County,96.9,123291,112336,58712
2022-03-18T00:00:00.000,Wisconsin,Eau Claire County,96.9,67598,64433,37451
2022-03-18T00:00:00.000,Wisconsin,La Crosse County,96.9,86781,80893,47500
